project_id,customer_id,start_date,planned_end_date,actual_end_date,planned_budget,actual_cost,earned_value,completion_status
PRJ-0038,CUST-0031,2024-09-24,2025-06-11,2025-04-20,68330.01,60254.35,65261.67,In Progress
PRJ-0039,CUST-0055,2024-06-17,2025-04-07,2025-06-20,137762.44,115535.8,105230.53,Delayed
PRJ-0040,CUST-0012,2024-09-15,2024-11-10,2025-07-17,116051.05,130134.26,104518.59,Completed
PRJ-0041,CUST-0011,2024-08-14,2025-06-15,2025-09-24,189927.43,168713.57,163881.44,In Progress
PRJ-0042,CUST-0088,2024-02-02,2025-05-09,2025-10-16,91329.91,101424.96,86751.37,Completed
PRJ-0043,CUST-0072,2024-08-01,2024-11-25,2025-11-24,144895.4,141370.01,106864.22,In Progress
PRJ-0044,CUST-0032,2024-02-19,2025-08-18,2025-07-23,108078.09,106683.74,79862.67,Delayed
PRJ-0045,CUST-0057,2024-07-28,2025-06-03,2025-07-27,112263.72,113513.2,97337.75,Completed
PRJ-0046,CUST-0038,2024-01-29,2025-03-22,2025-02-21,68199.38,65844.38,67102.3,Completed
PRJ-0047,CUST-0060,2024-02-08,2025-07-12,2025-04-14,101891.14,86126.44,84009.18,Completed
PRJ-0048,CUST-0086,2024-04-09,2025-08-14,2025-05-30,104741.3,98387.1,83592.21,Completed
PRJ-0049,CUST-0098,2024-06-21,2025-08-21,2025-04-24,147195.65,161720.98,129827.56,Completed
PRJ-0050,CUST-0019,2024-01-17,2025-03-18,2025-02-18,189315.2,208171.56,185365.06,In Progress
PRJ-0051,CUST-0084,2024-02-25,2025-06-18,2025-07-29,79277.83,73633.32,75399.43,Completed
PRJ-0052,CUST-0056,2024-08-13,2025-02-18,2025-10-30,27596.08,27790.53,27558.69,Completed
PRJ-0053,CUST-0014,2024-02-15,2025-01-24,2025-06-02,109333.12,96984.08,77273.43,In Progress
PRJ-0054,CUST-0033,2024-03-07,2025-05-22,2025-11-29,118003.04,105573.48,86597.41,Completed
PRJ-0055,CUST-0010,2024-07-15,2025-04-08,2025-08-10,50319.3,40777.31,44423.91,Delayed
PRJ-0056,CUST-0080,2024-05-21,2025-01-18,2025-04-01,156883.63,188815.09,148439.04,In Progress
PRJ-0057,CUST-0064,2024-01-23,2025-01-11,2025-08-21,197287.24,176536.17,154983.59,Completed
PRJ-0058,CUST-0064,2024-04-03,2025-04-05,2025-02-20,190239.45,171670.22,146819.83,Completed
PRJ-0059,CUST-0062,2024-08-29,2024-10-31,2025-11-18,55479.09,51363.69,51933.57,Completed
PRJ-0060,CUST-0068,2024-08-24,2025-01-12,2025-03-30,177565.38,152232.77,127299.21,In Progress
PRJ-0061,CUST-0091,2024-02-23,2025-01-25,2025-10-30,146808.85,159679.33,119034.79,Completed
PRJ-0062,CUST-0092,2024-05-17,2025-01-21,2025-05-01,101692.38,84792.56,86615.75,In Progress
PRJ-0063,CUST-0043,2024-09-28,2025-07-23,2025-03-04,117309.98,100932.46,101837.33,In Progress
PRJ-0064,CUST-0080,2024-02-10,2025-02-07,2025-02-25,172928.03,188515.85,158849.02,Completed
PRJ-0065,CUST-0059,2024-04-07,2025-04-19,2025-11-15,106424.29,101406.1,85826.26,In Progress
PRJ-0066,CUST-0052,2024-07-01,2024-12-19,2025-03-23,87177.33,97514.51,77047.79,Completed
PRJ-0067,CUST-0097,2024-05-07,2025-05-25,2025-02-08,108784.55,114315.28,95253.13,Delayed
PRJ-0068,CUST-0019,2024-08-16,2025-01-29,2025-10-11,124243.36,113708.71,107381.65,Completed
PRJ-0069,CUST-0021,2024-03-26,2025-06-06,2025-07-16,54033.98,59052.26,48206.14,In Progress
PRJ-0070,CUST-0022,2024-09-12,2024-11-04,2025-08-24,182163.39,155262.08,141693.02,Completed
PRJ-0071,CUST-0009,2024-07-27,2024-12-18,2025-05-15,141353.65,147203.52,102537.18,In Progress
PRJ-0072,CUST-0009,2024-08-02,2025-01-11,2025-04-15,133988.41,133548.48,98586.19,Completed
PRJ-0073,CUST-0073,2024-04-09,2025-05-20,2025-07-16,37909.32,34897.16,29090.65,Completed
PRJ-0074,CUST-0027,2024-02-18,2025-02-15,2025-07-26,128751.31,137995.94,109446.26,Completed
PRJ-0075,CUST-0017,2024-07-19,2025-04-09,2025-06-24,41772.92,49797.5,39773.37,Completed
PRJ-0076,CUST-0044,2024-09-14,2025-08-01,2025-06-21,34165.58,42690.14,31103.93,In Progress
PRJ-0077,CUST-0045,2024-06-26,2024-11-22,2025-04-10,114915.96,123361.51,107643.18,In Progress
PRJ-0078,CUST-0008,2024-09-01,2025-01-04,2025-08-20,92501.4,90847.26,74490.7,Completed
PRJ-0079,CUST-0080,2024-05-02,2025-06-01,2025-09-19,125985.85,113556.49,103484.29,Completed
PRJ-0080,CUST-0018,2024-06-19,2025-05-03,2025-11-11,36059.99,33019.89,29500.84,Completed
