ticket_id,customer_id,created_date,resolved_date,category,priority,status,first_contact_resolution,csat_score
TKT-000029,CUST-0005,2025-01-13,2025-02-19,Product Inquiry,Medium,In Progress,0,4
TKT-000030,CUST-0073,2024-04-16,2024-12-01,Technical Support,High,In Progress,1,4
TKT-000031,CUST-0046,2024-11-23,2025-03-03,Returns,Critical,In Progress,0,5
TKT-000032,CUST-0014,2024-03-05,2025-12-11,Billing,High,Resolved,1,4
TKT-000033,CUST-0044,2024-12-30,2025-03-01,Billing,Low,Closed,0,4
TKT-000034,CUST-0063,2025-04-28,2025-10-30,Billing,Low,In Progress,0,3
TKT-000035,CUST-0094,2025-10-08,2025-12-03,Product Inquiry,Medium,In Progress,1,4
TKT-000036,CUST-0052,2024-01-24,2024-05-05,Returns,Medium,Closed,1,4
TKT-000037,CUST-0026,2025-06-23,2024-02-28,Technical Support,Low,Closed,1,4
TKT-000038,CUST-0053,2024-03-02,2024-09-02,Billing,Low,Closed,1,3
TKT-000039,CUST-0029,2025-05-05,2025-11-10,Returns,High,Closed,1,4
TKT-000040,CUST-0019,2024-09-29,2024-12-05,Billing,Medium,Closed,1,2
TKT-000041,CUST-0047,2024-08-16,2024-04-20,Technical Support,Low,In Progress,1,3
TKT-000042,CUST-0008,2024-01-20,2025-03-14,Returns,Medium,In Progress,0,4
TKT-000043,CUST-0023,2024-01-03,2025-09-04,Product Inquiry,Medium,Closed,0,5
TKT-000044,CUST-0035,2025-02-24,2025-09-05,Product Inquiry,High,Closed,1,4
TKT-000045,CUST-0095,2024-11-02,2025-11-14,Billing,Low,Resolved,0,4
TKT-000046,CUST-0053,2025-03-07,2025-12-29,Billing,Medium,Closed,0,3
TKT-000047,CUST-0099,2024-05-15,2024-02-27,Returns,Medium,Closed,0,2
TKT-000048,CUST-0096,2025-05-29,2025-02-22,Technical Support,Low,Resolved,0,2
TKT-000049,CUST-0058,2024-07-11,2024-04-04,Billing,High,Resolved,0,4
TKT-000050,CUST-0005,2025-08-07,2025-01-28,Returns,Low,In Progress,0,3
TKT-000051,CUST-0016,2025-02-18,2025-02-28,Technical Support,Low,Closed,0,3
TKT-000052,CUST-0017,2024-04-27,2025-10-30,Billing,Medium,Closed,0,5
TKT-000053,CUST-0032,2025-10-27,2024-03-17,Billing,Low,In Progress,1,1
TKT-000054,CUST-0096,2024-07-27,2024-08-30,Returns,Low,Closed,0,4
TKT-000055,CUST-0052,2024-02-03,2025-02-10,Billing,High,Resolved,1,4
TKT-000056,CUST-0020,2025-10-10,2024-04-21,Product Inquiry,Low,Closed,1,4
TKT-000057,CUST-0066,2024-11-13,2024-04-21,Technical Support,Critical,Closed,1,4
TKT-000058,CUST-0084,2024-04-29,2025-04-16,Technical Support,Medium,Closed,1,4
TKT-000059,CUST-0082,2025-09-18,2025-11-13,Product Inquiry,Low,Closed,1,3
TKT-000060,CUST-0001,2025-06-08,2025-08-23,Returns,Low,In Progress,0,5
TKT-000061,CUST-0058,2025-08-03,2025-03-05,Product Inquiry,Medium,Closed,1,5
TKT-000062,CUST-0093,2024-03-29,2024-11-22,Product Inquiry,Medium,Resolved,0,3
TKT-000063,CUST-0093,2025-05-26,2025-10-17,Technical Support,Low,Resolved,1,2
TKT-000064,CUST-0083,2024-02-16,2025-04-25,Returns,Low,Closed,1,5
TKT-000065,CUST-0044,2025-11-22,2024-06-13,Billing,High,Resolved,0,4
TKT-000066,CUST-0006,2025-06-05,2026-01-07,Product Inquiry,Low,Closed,1,4
TKT-000067,CUST-0050,2024-10-10,2024-06-19,Product Inquiry,High,Resolved,1,4
TKT-000068,CUST-0072,2025-01-11,2025-07-28,Returns,Medium,Closed,0,2
TKT-000069,CUST-0088,2025-09-29,2025-04-10,Product Inquiry,Medium,Closed,1,4
TKT-000070,CUST-0020,2024-05-13,2024-07-31,Returns,Low,Closed,1,4
TKT-000071,CUST-0014,2025-10-28,2026-01-07,Billing,Low,Closed,1,3
TKT-000072,CUST-0005,2024-09-04,2025-01-21,Returns,High,In Progress,0,4
TKT-000073,CUST-0041,2025-10-13,2025-03-04,Billing,Low,Closed,0,5
TKT-000074,CUST-0040,2024-11-13,2025-01-08,Returns,Low,Closed,1,4
TKT-000075,CUST-0034,2025-03-11,2024-08-10,Product Inquiry,Medium,Closed,1,2
TKT-000076,CUST-0080,2024-06-24,2024-04-23,Billing,Low,Resolved,1,4
TKT-000077,CUST-0045,2025-11-16,2024-05-30,Product Inquiry,Medium,Closed,1,5
TKT-000078,CUST-0071,2025-08-08,2025-01-06,Billing,High,Closed,0,5
TKT-000079,CUST-0080,2024-12-16,2024-04-25,Returns,Medium,Closed,1,4
TKT-000080,CUST-0071,2024-05-22,2025-08-29,Returns,High,Closed,1,3
TKT-000081,CUST-0027,2025-02-01,2025-10-10,Returns,High,Resolved,1,5
TKT-000082,CUST-0078,2025-09-15,2025-05-22,Technical Support,Low,Resolved,0,4
TKT-000083,CUST-0078,2025-10-04,2025-09-20,Technical Support,Low,Resolved,0,1
TKT-000084,CUST-0044,2025-01-03,2025-05-17,Billing,Medium,Closed,1,4
TKT-000085,CUST-0033,2025-05-15,2024-11-04,Technical Support,Medium,Resolved,0,4
TKT-000086,CUST-0033,2025-09-13,2025-04-20,Returns,Low,Closed,1,4
TKT-000087,CUST-0044,2025-01-04,2024-08-15,Technical Support,Critical,In Progress,0,3
TKT-000088,CUST-0020,2025-08-01,2024-11-25,Technical Support,Medium,Closed,0,4
TKT-000089,CUST-0036,2025-01-16,2025-01-28,Product Inquiry,Low,Closed,0,5
TKT-000090,CUST-0007,2024-03-26,2024-03-07,Billing,Medium,Closed,1,5
TKT-000091,CUST-0032,2025-04-04,2024-12-11,Billing,Low,Closed,1,5
TKT-000092,CUST-0067,2024-11-20,2024-09-08,Billing,High,Closed,1,5
TKT-000093,CUST-0039,2025-06-05,2026-01-03,Technical Support,Medium,Resolved,1,1
TKT-000094,CUST-0093,2025-05-03,2024-08-31,Returns,Low,Closed,0,4
TKT-000095,CUST-0024,2025-01-31,2024-07-17,Product Inquiry,Low,In Progress,0,4
TKT-000096,CUST-0086,2024-12-20,2025-02-28,Billing,High,Closed,1,5
TKT-000097,CUST-0070,2024-10-14,2024-03-25,Technical Support,Medium,Closed,1,3
TKT-000098,CUST-0088,2025-04-03,2025-02-22,Returns,Critical,Resolved,1,5
TKT-000099,CUST-0087,2025-09-15,2024-03-19,Product Inquiry,Low,Closed,1,4
TKT-000100,CUST-0054,2025-06-19,2024-09-27,Product Inquiry,Low,Closed,1,5
TKT-000101,CUST-0038,2024-10-17,2024-04-12,Billing,Low,Resolved,0,2
TKT-000102,CUST-0074,2024-06-16,2025-02-06,Billing,Medium,Closed,1,3
TKT-000103,CUST-0080,2025-09-12,2025-03-17,Returns,Low,Closed,0,5
TKT-000104,CUST-0075,2025-03-03,2024-05-05,Technical Support,Low,Resolved,1,1
TKT-000105,CUST-0032,2025-05-04,2025-06-27,Returns,Medium,Closed,1,5
TKT-000106,CUST-0045,2024-12-20,2026-01-07,Billing,Medium,Resolved,0,1
TKT-000107,CUST-0061,2024-07-14,2025-07-25,Returns,Low,Closed,1,4
TKT-000108,CUST-0070,2025-06-28,2024-06-15,Technical Support,Medium,Closed,0,4
TKT-000109,CUST-0088,2025-11-24,2024-11-25,Product Inquiry,Medium,Closed,1,4
TKT-000110,CUST-0097,2025-10-20,2024-08-12,Product Inquiry,Low,Resolved,1,4
TKT-000111,CUST-0053,2024-01-11,2024-12-10,Product Inquiry,Low,Closed,1,4
TKT-000112,CUST-0051,2025-08-04,2025-05-15,Product Inquiry,Low,Resolved,1,2
TKT-000113,CUST-0076,2024-09-12,2025-07-21,Billing,Medium,Closed,0,2
TKT-000114,CUST-0056,2025-01-30,2024-03-11,Billing,High,Closed,1,4
TKT-000115,CUST-0027,2025-02-12,2024-05-02,Technical Support,Low,Resolved,1,4
TKT-000116,CUST-0038,2024-12-27,2024-03-26,Technical Support,Low,Closed,1,5
TKT-000117,CUST-0062,2024-09-15,2025-07-10,Technical Support,High,Closed,0,4
TKT-000118,CUST-0018,2024-01-03,2024-10-09,Technical Support,Critical,Closed,0,4
TKT-000119,CUST-0064,2024-03-24,2025-06-30,Returns,Medium,Closed,0,4
TKT-000120,CUST-0077,2024-06-04,2024-09-12,Technical Support,Critical,Closed,1,1
TKT-000121,CUST-0030,2025-10-24,2025-04-20,Product Inquiry,Medium,Closed,0,4
TKT-000122,CUST-0049,2024-06-24,2024-04-03,Product Inquiry,Medium,Closed,1,5
TKT-000123,CUST-0041,2025-04-16,2024-05-20,Product Inquiry,Low,Closed,1,5
TKT-000124,CUST-0013,2025-09-10,2025-06-03,Returns,Medium,Closed,1,4
TKT-000125,CUST-0034,2025-02-27,2025-10-16,Technical Support,Low,Closed,1,4
TKT-000126,CUST-0100,2024-05-13,2025-05-31,Product Inquiry,High,In Progress,0,5
TKT-000127,CUST-0094,2025-01-14,2025-05-18,Product Inquiry,High,Resolved,1,4
TKT-000128,CUST-0025,2025-10-28,2025-10-06,Product Inquiry,Medium,Closed,1,1
TKT-000129,CUST-0066,2024-10-03,2025-01-17,Product Inquiry,Low,Closed,1,2
TKT-000130,CUST-0100,2024-08-23,2025-07-10,Billing,Low,In Progress,1,4
TKT-000131,CUST-0018,2024-01-13,2025-06-03,Technical Support,Low,Closed,0,5
TKT-000132,CUST-0005,2024-12-07,2024-03-11,Technical Support,Low,Closed,1,4
TKT-000133,CUST-0019,2024-02-04,2024-10-04,Returns,Medium,Closed,1,2
TKT-000134,CUST-0042,2025-07-12,2025-03-01,Billing,High,Resolved,1,3
TKT-000135,CUST-0018,2024-08-01,2024-06-28,Returns,Low,Closed,0,5
TKT-000136,CUST-0032,2025-02-15,2026-01-06,Product Inquiry,Low,Resolved,0,5
TKT-000137,CUST-0021,2025-02-08,2025-10-31,Returns,Medium,Resolved,1,4
TKT-000138,CUST-0010,2025-05-08,2025-04-08,Product Inquiry,Low,Closed,1,4
TKT-000139,CUST-0037,2025-10-19,2024-04-30,Product Inquiry,High,Resolved,1,1
TKT-000140,CUST-0049,2024-06-07,2025-03-29,Technical Support,Low,Closed,1,5
TKT-000141,CUST-0086,2025-09-28,2025-09-03,Technical Support,Low,Closed,1,5
TKT-000142,CUST-0013,2024-04-19,2025-10-18,Technical Support,Low,Closed,0,3
TKT-000143,CUST-0055,2025-07-02,2025-03-22,Technical Support,Low,Closed,0,5
TKT-000144,CUST-0017,2025-06-09,2025-01-21,Technical Support,Medium,Closed,1,3
TKT-000145,CUST-0009,2024-12-12,2025-11-24,Billing,Low,Closed,1,1
TKT-000146,CUST-0088,2025-09-27,2025-07-08,Technical Support,Medium,Closed,1,3
TKT-000147,CUST-0044,2024-10-05,2024-11-21,Returns,Medium,Closed,1,3
TKT-000148,CUST-0078,2025-04-23,2024-03-03,Product Inquiry,Low,Closed,1,4
TKT-000149,CUST-0046,2024-04-20,2024-02-22,Technical Support,Low,Resolved,1,4
TKT-000150,CUST-0008,2025-09-27,2024-09-30,Billing,Medium,Closed,0,4
TKT-000151,CUST-0037,2025-03-06,2024-08-12,Returns,Medium,Closed,0,4
TKT-000152,CUST-0019,2025-06-25,2025-03-10,Returns,High,Closed,0,3
TKT-000153,CUST-0063,2024-04-24,2025-10-13,Product Inquiry,Low,Closed,1,1
TKT-000154,CUST-0092,2024-03-30,2024-10-17,Returns,Low,Closed,1,4
TKT-000155,CUST-0046,2024-07-30,2025-08-19,Returns,Low,Closed,0,4
TKT-000156,CUST-0094,2025-07-03,2024-03-04,Returns,Medium,Closed,0,3
TKT-000157,CUST-0071,2025-08-17,2024-09-01,Returns,Medium,Closed,1,5
TKT-000158,CUST-0026,2025-06-22,2025-03-22,Billing,High,In Progress,1,5
TKT-000159,CUST-0046,2024-12-25,2025-04-25,Product Inquiry,Medium,In Progress,1,5
TKT-000160,CUST-0046,2025-04-30,2024-12-21,Technical Support,Low,Closed,1,4
TKT-000161,CUST-0075,2025-01-06,2025-01-18,Returns,Medium,Resolved,1,2
TKT-000162,CUST-0014,2024-08-02,2025-04-04,Billing,High,Closed,0,4
TKT-000163,CUST-0085,2024-01-15,2024-02-22,Product Inquiry,Low,Closed,0,3
TKT-000164,CUST-0063,2024-09-15,2026-01-10,Technical Support,Medium,Resolved,1,4
TKT-000165,CUST-0072,2025-04-07,2025-08-24,Product Inquiry,Critical,Closed,1,2
TKT-000166,CUST-0003,2024-04-29,2025-05-16,Billing,Medium,Closed,0,5
TKT-000167,CUST-0028,2024-05-07,2025-12-26,Billing,Medium,Closed,1,2
TKT-000168,CUST-0029,2025-06-06,2025-06-28,Billing,Low,Closed,0,5
TKT-000169,CUST-0087,2025-11-18,2025-04-11,Returns,Medium,Closed,1,5
TKT-000170,CUST-0018,2025-10-06,2025-03-16,Billing,Low,Closed,0,4
TKT-000171,CUST-0035,2024-11-20,2025-02-26,Technical Support,Medium,Closed,1,5
TKT-000172,CUST-0077,2024-11-15,2025-11-08,Returns,Low,Closed,0,4
TKT-000173,CUST-0076,2025-05-20,2024-04-11,Product Inquiry,High,Resolved,1,5
TKT-000174,CUST-0047,2025-06-09,2025-03-01,Technical Support,High,Closed,0,4
TKT-000175,CUST-0005,2024-02-19,2025-03-20,Returns,Medium,Resolved,1,5
TKT-000176,CUST-0075,2025-08-06,2024-07-10,Billing,Low,Closed,1,4
TKT-000177,CUST-0059,2024-03-09,2024-05-15,Product Inquiry,Low,Resolved,0,5
TKT-000178,CUST-0075,2025-01-25,2025-05-28,Billing,High,Resolved,0,4
TKT-000179,CUST-0059,2025-01-17,2024-04-05,Technical Support,Medium,Closed,1,4
TKT-000180,CUST-0047,2024-01-16,2024-10-14,Technical Support,Medium,Closed,1,5
TKT-000181,CUST-0095,2025-03-14,2024-02-29,Returns,Low,Closed,0,5
TKT-000182,CUST-0095,2025-07-21,2025-12-14,Technical Support,Medium,In Progress,0,4
TKT-000183,CUST-0013,2025-09-08,2025-09-14,Product Inquiry,Medium,Closed,0,3
TKT-000184,CUST-0078,2024-05-11,2025-08-02,Returns,Medium,Closed,0,4
TKT-000185,CUST-0089,2025-07-13,2025-10-09,Product Inquiry,Medium,Closed,1,5
TKT-000186,CUST-0033,2024-09-04,2025-11-29,Billing,High,In Progress,1,5
TKT-000187,CUST-0097,2024-09-29,2025-11-20,Product Inquiry,Low,Closed,1,5
TKT-000188,CUST-0062,2025-09-14,2025-10-27,Product Inquiry,Low,Closed,1,1
TKT-000189,CUST-0079,2024-12-14,2026-01-17,Technical Support,Medium,Closed,1,4
TKT-000190,CUST-0016,2025-04-28,2024-08-15,Billing,Low,In Progress,1,4
TKT-000191,CUST-0044,2025-07-03,2024-02-25,Technical Support,High,Closed,0,5
TKT-000192,CUST-0058,2024-12-22,2024-12-22,Billing,Medium,Closed,1,1
TKT-000193,CUST-0006,2024-11-13,2025-08-20,Billing,High,Closed,1,5
TKT-000194,CUST-0089,2025-09-24,2025-01-11,Product Inquiry,Medium,Closed,0,4
TKT-000195,CUST-0015,2024-02-17,2025-02-09,Technical Support,Low,Resolved,0,3
TKT-000196,CUST-0004,2024-01-10,2025-03-20,Product Inquiry,Low,Closed,0,4
TKT-000197,CUST-0056,2024-08-20,2024-12-15,Product Inquiry,High,Closed,0,3
TKT-000198,CUST-0064,2024-02-05,2025-07-29,Product Inquiry,Low,Resolved,1,4
TKT-000199,CUST-0068,2025-02-16,2024-11-30,Billing,Medium,In Progress,1,2
TKT-000200,CUST-0094,2025-04-06,2025-01-14,Technical Support,High,Closed,1,3
TKT-000201,CUST-0034,2024-01-04,2024-04-09,Technical Support,Low,Closed,0,5
TKT-000202,CUST-0091,2024-02-13,2025-11-02,Product Inquiry,Low,Resolved,1,2
TKT-000203,CUST-0095,2025-07-21,2025-03-03,Billing,Medium,Closed,0,3
TKT-000204,CUST-0056,2025-07-07,2025-10-11,Technical Support,High,In Progress,1,4
TKT-000205,CUST-0032,2024-09-11,2025-08-10,Returns,Low,In Progress,1,4
TKT-000206,CUST-0009,2024-04-23,2024-07-12,Technical Support,High,Closed,0,5
TKT-000207,CUST-0063,2025-01-31,2024-04-19,Product Inquiry,Medium,In Progress,1,4
TKT-000208,CUST-0072,2024-06-22,2024-05-04,Returns,Critical,Closed,1,5
TKT-000209,CUST-0078,2024-09-11,2024-02-22,Billing,Low,Closed,0,4
TKT-000210,CUST-0033,2025-04-10,2025-09-16,Returns,Low,Closed,0,2
TKT-000211,CUST-0087,2024-10-03,2025-05-12,Returns,High,Resolved,1,3
TKT-000212,CUST-0021,2025-04-08,2024-11-20,Product Inquiry,High,Closed,0,4
TKT-000213,CUST-0055,2025-05-16,2025-08-02,Technical Support,Medium,Closed,1,4
TKT-000214,CUST-0076,2025-03-16,2025-10-03,Billing,Medium,In Progress,1,5
TKT-000215,CUST-0057,2024-03-09,2024-09-21,Returns,High,Closed,0,4
TKT-000216,CUST-0002,2025-05-23,2026-01-02,Product Inquiry,Low,Closed,0,4
TKT-000217,CUST-0013,2024-11-21,2025-06-18,Technical Support,Medium,Resolved,1,3
TKT-000218,CUST-0004,2024-03-07,2025-01-13,Returns,High,Resolved,1,3
TKT-000219,CUST-0084,2024-10-30,2024-10-31,Product Inquiry,Low,In Progress,1,4
TKT-000220,CUST-0050,2025-04-28,2025-03-12,Product Inquiry,Low,In Progress,1,4
TKT-000221,CUST-0048,2025-07-01,2024-06-24,Product Inquiry,High,Closed,1,4
TKT-000222,CUST-0078,2025-02-20,2025-09-25,Billing,Low,Closed,0,3
TKT-000223,CUST-0030,2024-06-07,2025-08-22,Technical Support,Low,Closed,1,4
TKT-000224,CUST-0029,2024-05-28,2025-01-08,Returns,Critical,Closed,1,5
TKT-000225,CUST-0008,2024-01-27,2024-09-10,Technical Support,Medium,Closed,1,3
TKT-000226,CUST-0012,2025-08-06,2024-08-09,Technical Support,High,Resolved,1,4
TKT-000227,CUST-0041,2024-09-04,2024-09-23,Returns,High,Closed,1,5
TKT-000228,CUST-0026,2024-04-10,2024-10-21,Technical Support,Low,Closed,1,4
TKT-000229,CUST-0050,2024-04-05,2025-01-20,Billing,Low,Closed,0,4
TKT-000230,CUST-0002,2025-01-18,2024-12-13,Returns,Low,Closed,1,2
TKT-000231,CUST-0055,2024-10-08,2024-08-19,Returns,Low,Closed,0,4
TKT-000232,CUST-0056,2024-11-17,2025-01-18,Product Inquiry,Medium,Closed,0,2
TKT-000233,CUST-0014,2025-01-30,2025-07-14,Technical Support,Medium,Closed,1,5
TKT-000234,CUST-0006,2024-10-04,2025-03-08,Returns,Medium,Closed,0,5
TKT-000235,CUST-0095,2025-06-12,2024-09-05,Returns,Low,Resolved,1,5
TKT-000236,CUST-0081,2024-09-19,2025-01-16,Billing,Low,Resolved,1,5
TKT-000237,CUST-0089,2025-09-10,2024-08-02,Product Inquiry,Medium,Closed,0,4
TKT-000238,CUST-0061,2025-08-02,2024-10-18,Returns,Medium,Resolved,1,4
TKT-000239,CUST-0096,2025-10-01,2025-11-22,Billing,Low,Closed,1,5
TKT-000240,CUST-0012,2024-10-19,2024-10-03,Returns,Medium,Closed,1,5
TKT-000241,CUST-0013,2024-10-20,2025-11-14,Returns,Low,Closed,1,4
TKT-000242,CUST-0019,2025-08-30,2025-08-28,Returns,Low,Closed,1,5
TKT-000243,CUST-0044,2025-01-29,2025-05-15,Billing,Medium,Resolved,0,4
TKT-000244,CUST-0089,2025-05-27,2024-09-02,Technical Support,Low,Closed,0,4
TKT-000245,CUST-0095,2024-06-28,2024-09-10,Returns,Medium,In Progress,1,4
TKT-000246,CUST-0059,2025-11-23,2025-05-22,Returns,Low,Closed,1,3
TKT-000247,CUST-0037,2024-08-22,2024-11-02,Technical Support,Low,Closed,0,1
TKT-000248,CUST-0025,2024-12-02,2025-08-01,Returns,Low,In Progress,1,3
TKT-000249,CUST-0016,2024-01-08,2024-11-17,Product Inquiry,High,Closed,1,4
TKT-000250,CUST-0038,2025-03-18,2024-02-28,Returns,Medium,Closed,1,4
TKT-000251,CUST-0043,2025-06-22,2024-09-07,Product Inquiry,Critical,Closed,1,4
TKT-000252,CUST-0087,2025-10-19,2024-04-18,Technical Support,Medium,Closed,1,5
TKT-000253,CUST-0014,2024-03-31,2025-03-18,Billing,Medium,Closed,1,4
TKT-000254,CUST-0006,2024-09-28,2025-12-02,Technical Support,Low,Closed,1,4
TKT-000255,CUST-0089,2024-01-05,2024-06-17,Returns,Low,Closed,1,2
TKT-000256,CUST-0023,2025-08-16,2025-08-25,Product Inquiry,Low,Closed,1,1
TKT-000257,CUST-0060,2024-08-06,2025-03-24,Billing,Low,Closed,1,5
TKT-000258,CUST-0012,2024-04-27,2025-01-15,Returns,Medium,Closed,1,4
TKT-000259,CUST-0013,2025-08-15,2024-11-12,Billing,Low,Closed,0,5
TKT-000260,CUST-0100,2025-08-04,2025-07-23,Billing,Low,Closed,0,2
TKT-000261,CUST-0098,2024-04-24,2026-01-14,Returns,Low,Closed,1,4
TKT-000262,CUST-0006,2024-09-19,2025-06-13,Technical Support,Medium,Closed,0,3
TKT-000263,CUST-0063,2024-11-01,2024-07-02,Returns,Medium,Closed,0,3
TKT-000264,CUST-0038,2025-10-15,2026-01-12,Returns,High,Closed,0,1
TKT-000265,CUST-0050,2025-02-25,2025-02-08,Technical Support,Low,Closed,1,2
TKT-000266,CUST-0052,2024-07-25,2025-09-25,Product Inquiry,Low,Closed,0,4
TKT-000267,CUST-0040,2025-09-14,2025-07-01,Returns,Low,Closed,0,2
TKT-000268,CUST-0008,2024-10-29,2025-11-05,Billing,High,Closed,1,5
TKT-000269,CUST-0061,2024-04-21,2024-06-05,Returns,Low,Closed,1,4
TKT-000270,CUST-0008,2025-02-20,2024-12-05,Returns,Medium,Closed,1,2
TKT-000271,CUST-0097,2025-07-08,2025-11-09,Billing,Medium,Closed,0,3
TKT-000272,CUST-0034,2024-10-11,2025-11-12,Technical Support,Low,Closed,1,4
TKT-000273,CUST-0079,2025-10-01,2024-07-15,Product Inquiry,Low,Closed,1,2
TKT-000274,CUST-0100,2024-07-03,2025-01-11,Product Inquiry,Low,In Progress,1,5
TKT-000275,CUST-0060,2024-08-08,2025-04-09,Billing,High,Closed,0,5
TKT-000276,CUST-0057,2025-03-19,2024-09-16,Technical Support,Medium,Resolved,1,3
TKT-000277,CUST-0099,2024-04-26,2024-12-11,Returns,Medium,Resolved,1,4
TKT-000278,CUST-0046,2024-03-10,2025-03-23,Returns,Medium,Closed,1,1
TKT-000279,CUST-0022,2024-03-10,2024-06-01,Returns,Medium,Closed,1,4
TKT-000280,CUST-0087,2025-09-13,2025-11-16,Returns,Medium,Closed,1,4
TKT-000281,CUST-0040,2025-03-02,2025-07-11,Returns,Low,Closed,1,3
TKT-000282,CUST-0045,2025-10-05,2024-09-15,Billing,Low,Closed,1,3
TKT-000283,CUST-0055,2025-07-21,2025-04-22,Returns,Low,Resolved,0,4
TKT-000284,CUST-0051,2025-03-18,2025-03-18,Returns,Medium,Resolved,1,4
TKT-000285,CUST-0086,2025-08-23,2024-06-07,Technical Support,Low,Closed,1,3
TKT-000286,CUST-0005,2024-05-16,2025-02-01,Returns,Medium,Closed,1,4
TKT-000287,CUST-0095,2025-05-18,2024-04-09,Product Inquiry,Low,Closed,0,4
TKT-000288,CUST-0013,2024-05-10,2024-06-03,Billing,High,Resolved,0,5
TKT-000289,CUST-0028,2024-08-05,2025-04-14,Billing,Low,Resolved,1,2
TKT-000290,CUST-0084,2025-11-18,2025-02-26,Billing,Low,In Progress,1,5
TKT-000291,CUST-0097,2024-06-19,2024-03-17,Product Inquiry,High,Closed,1,4
TKT-000292,CUST-0080,2025-04-19,2024-11-18,Returns,Medium,Closed,1,2
TKT-000293,CUST-0062,2025-09-03,2025-11-29,Billing,Critical,Closed,0,4
TKT-000294,CUST-0093,2024-05-08,2025-01-24,Product Inquiry,Low,Closed,1,4
TKT-000295,CUST-0087,2024-02-26,2024-12-16,Technical Support,Low,In Progress,1,5
TKT-000296,CUST-0024,2024-06-29,2025-06-13,Returns,Medium,In Progress,1,2
TKT-000297,CUST-0098,2024-09-02,2025-08-16,Product Inquiry,High,Closed,0,4
TKT-000298,CUST-0007,2024-05-23,2025-08-29,Returns,Low,Closed,1,4
TKT-000299,CUST-0038,2024-02-20,2024-11-10,Technical Support,High,Closed,1,5
TKT-000300,CUST-0037,2025-01-02,2025-08-14,Product Inquiry,Medium,Resolved,1,4
TKT-000301,CUST-0068,2025-04-03,2025-10-07,Returns,High,Closed,1,5
TKT-000302,CUST-0098,2024-08-05,2024-08-03,Product Inquiry,Low,Closed,0,5
TKT-000303,CUST-0042,2025-09-07,2024-12-31,Billing,Low,Closed,0,3
TKT-000304,CUST-0086,2025-07-20,2024-02-20,Returns,High,Closed,1,5
TKT-000305,CUST-0005,2024-09-13,2024-11-06,Product Inquiry,High,In Progress,1,5
TKT-000306,CUST-0064,2024-06-04,2024-04-22,Billing,Medium,Closed,0,3
TKT-000307,CUST-0050,2025-07-18,2025-06-16,Technical Support,Low,Closed,1,4
TKT-000308,CUST-0087,2025-03-17,2025-12-26,Returns,Low,Closed,1,4
TKT-000309,CUST-0015,2025-11-29,2025-01-05,Returns,Medium,Closed,1,3
