transaction_id,date_id,customer_id,location_id,product_category,quantity,unit_price,discount_amount,gross_revenue,net_revenue
TXN-000041,20240909,CUST-0012,LOC-004,Electronics,21,94.52,213.13,1984.92,1771.79
TXN-000042,20260716,CUST-0047,LOC-001,Electronics,48,107.33,702.48,5151.84,4449.36
TXN-000043,20240609,CUST-0018,LOC-007,Furniture,6,433.66,70.13,2601.96,2531.83
TXN-000044,20240912,CUST-0021,LOC-009,Office Supplies,28,474.14,473.04,13275.92,12802.88
TXN-000045,20241118,CUST-0013,LOC-003,Electronics,17,199.19,493.41,3386.23,2892.82
TXN-000046,20240507,CUST-0021,LOC-002,Office Supplies,5,149.96,20.35,749.8,729.45
TXN-000047,20240118,CUST-0008,LOC-003,Office Supplies,31,329.12,1307.56,10202.72,8895.16
TXN-000048,20260303,CUST-0046,LOC-001,Industrial Equipment,5,216.19,79.82,1080.95,1001.13
TXN-000049,20260104,CUST-0007,LOC-006,Furniture,38,32.19,45.36,1223.22,1177.86
TXN-000050,20250719,CUST-0023,LOC-007,Furniture,3,94.95,37.2,284.85,247.65
TXN-000051,20250723,CUST-0096,LOC-002,Furniture,23,363.67,558.71,8364.41,7805.7
TXN-000052,20241118,CUST-0075,LOC-008,Industrial Equipment,37,336.28,960.83,12442.36,11481.53
TXN-000053,20260521,CUST-0086,LOC-006,Industrial Equipment,37,33.01,65.81,1221.37,1155.56
TXN-000054,20251116,CUST-0022,LOC-004,Furniture,10,126.55,112.56,1265.5,1152.94
TXN-000055,20260302,CUST-0089,LOC-005,Industrial Equipment,10,130.92,32.11,1309.2,1277.09
TXN-000056,20250917,CUST-0022,LOC-008,Industrial Equipment,19,342.51,381.76,6507.69,6125.93
TXN-000057,20241014,CUST-0092,LOC-003,Industrial Equipment,17,29.46,72.83,500.82,427.99
TXN-000058,20260731,CUST-0029,LOC-003,Furniture,21,69.97,56.89,1469.37,1412.48
TXN-000059,20260503,CUST-0013,LOC-004,Furniture,14,403.96,557.12,5655.44,5098.32
TXN-000060,20251024,CUST-0082,LOC-001,Furniture,9,105.7,46.4,951.3,904.9
TXN-000061,20250930,CUST-0002,LOC-009,Industrial Equipment,46,333.32,1778.92,15332.72,13553.8
TXN-000062,20240603,CUST-0029,LOC-008,Furniture,1,134.33,2.64,134.33,131.69
TXN-000063,20250504,CUST-0085,LOC-008,Industrial Equipment,45,67.73,443.38,3047.85,2604.47
TXN-000064,20250120,CUST-0079,LOC-010,Electronics,13,136.72,120.98,1777.36,1656.38
TXN-000065,20260223,CUST-0052,LOC-006,Industrial Equipment,4,366.69,51.93,1466.76,1414.83
TXN-000066,20240413,CUST-0027,LOC-007,Office Supplies,1,430.73,4.75,430.73,425.98
TXN-000067,20260717,CUST-0050,LOC-006,Furniture,49,418.51,522.18,20506.99,19984.81
TXN-000068,20250127,CUST-0095,LOC-009,Furniture,40,210.65,656.94,8426.0,7769.06
TXN-000069,20260321,CUST-0079,LOC-003,Office Supplies,32,340.68,551.09,10901.76,10350.67
TXN-000070,20240902,CUST-0023,LOC-003,Industrial Equipment,34,118.39,500.47,4025.26,3524.79
TXN-000071,20240624,CUST-0088,LOC-003,Electronics,28,160.71,290.84,4499.88,4209.04
TXN-000072,20240208,CUST-0044,LOC-010,Office Supplies,31,450.24,520.71,13957.44,13436.73
TXN-000073,20250421,CUST-0077,LOC-003,Office Supplies,8,26.24,19.43,209.92,190.49
TXN-000074,20251112,CUST-0022,LOC-009,Industrial Equipment,39,61.04,252.38,2380.56,2128.18
TXN-000075,20260128,CUST-0043,LOC-004,Furniture,26,119.79,78.04,3114.54,3036.5
TXN-000076,20250621,CUST-0037,LOC-007,Industrial Equipment,34,32.74,27.99,1113.16,1085.17
TXN-000077,20260516,CUST-0061,LOC-009,Office Supplies,3,107.09,1.77,321.27,319.5
TXN-000078,20260328,CUST-0097,LOC-007,Office Supplies,12,299.86,397.47,3598.32,3200.85
TXN-000079,20260709,CUST-0056,LOC-009,Furniture,1,222.28,22.13,222.28,200.15
TXN-000080,20250211,CUST-0003,LOC-003,Furniture,44,448.48,1404.89,19733.12,18328.23
TXN-000081,20250608,CUST-0063,LOC-004,Furniture,5,412.37,261.08,2061.85,1800.77
TXN-000082,20260407,CUST-0019,LOC-008,Industrial Equipment,30,184.07,667.35,5522.1,4854.75
TXN-000083,20250520,CUST-0023,LOC-006,Furniture,30,144.52,380.68,4335.6,3954.92
TXN-000084,20260621,CUST-0029,LOC-005,Office Supplies,17,202.25,447.8,3438.25,2990.45
TXN-000085,20260404,CUST-0030,LOC-004,Office Supplies,48,303.34,449.57,14560.32,14110.75
TXN-000086,20240205,CUST-0039,LOC-008,Electronics,47,148.67,117.31,6987.49,6870.18
TXN-000087,20251115,CUST-0025,LOC-001,Industrial Equipment,23,319.59,297.42,7350.57,7053.15
TXN-000088,20240120,CUST-0008,LOC-009,Electronics,15,216.52,27.81,3247.8,3219.99
TXN-000089,20241116,CUST-0058,LOC-001,Office Supplies,37,284.98,840.12,10544.26,9704.14
TXN-000090,20260214,CUST-0016,LOC-008,Electronics,21,229.34,676.62,4816.14,4139.52
TXN-000091,20250526,CUST-0072,LOC-004,Office Supplies,14,161.34,13.33,2258.76,2245.43
TXN-000092,20250203,CUST-0001,LOC-009,Electronics,2,475.26,17.41,950.52,933.11
TXN-000093,20251015,CUST-0005,LOC-005,Furniture,11,386.53,288.4,4251.83,3963.43
TXN-000094,20260601,CUST-0003,LOC-003,Electronics,39,87.25,476.66,3402.75,2926.09
TXN-000095,20250415,CUST-0065,LOC-009,Furniture,38,436.86,787.26,16600.68,15813.42
TXN-000096,20240522,CUST-0004,LOC-009,Furniture,34,253.97,656.99,8634.98,7977.99
TXN-000097,20240401,CUST-0099,LOC-004,Industrial Equipment,38,449.39,106.49,17076.82,16970.33
TXN-000098,20241219,CUST-0096,LOC-004,Furniture,34,403.93,305.59,13733.62,13428.03
TXN-000099,20260413,CUST-0064,LOC-008,Furniture,18,224.1,596.98,4033.8,3436.82
TXN-000100,20260310,CUST-0098,LOC-002,Electronics,30,30.79,133.72,923.7,789.98
TXN-000101,20251227,CUST-0089,LOC-009,Office Supplies,15,148.97,1.66,2234.55,2232.89
TXN-000102,20260503,CUST-0010,LOC-006,Industrial Equipment,27,279.98,1079.28,7559.46,6480.18
TXN-000103,20240220,CUST-0021,LOC-009,Furniture,34,324.07,1056.31,11018.38,9962.07
TXN-000104,20251026,CUST-0046,LOC-008,Industrial Equipment,38,143.79,711.35,5464.02,4752.67
TXN-000105,20251128,CUST-0091,LOC-007,Electronics,33,86.89,195.59,2867.37,2671.78
TXN-000106,20250728,CUST-0027,LOC-001,Furniture,24,420.77,781.01,10098.48,9317.47
TXN-000107,20240708,CUST-0066,LOC-003,Electronics,15,492.51,541.71,7387.65,6845.94
TXN-000108,20240504,CUST-0041,LOC-002,Industrial Equipment,30,272.33,817.23,8169.9,7352.67
TXN-000109,20240529,CUST-0013,LOC-005,Electronics,42,102.41,90.1,4301.22,4211.12
TXN-000110,20241109,CUST-0009,LOC-005,Industrial Equipment,17,150.71,11.52,2562.07,2550.55
TXN-000111,20250723,CUST-0036,LOC-005,Electronics,5,28.83,6.66,144.15,137.49
TXN-000112,20241207,CUST-0086,LOC-004,Industrial Equipment,29,458.86,1406.57,13306.94,11900.37
TXN-000113,20241031,CUST-0090,LOC-005,Office Supplies,4,76.52,9.27,306.08,296.81
TXN-000114,20251122,CUST-0058,LOC-003,Electronics,10,296.73,299.74,2967.3,2667.56
TXN-000115,20251112,CUST-0054,LOC-001,Electronics,17,151.55,374.82,2576.35,2201.53
TXN-000116,20260417,CUST-0012,LOC-005,Office Supplies,10,286.01,40.28,2860.1,2819.82
TXN-000117,20260221,CUST-0081,LOC-009,Office Supplies,17,332.68,570.59,5655.56,5084.97
TXN-000118,20240223,CUST-0078,LOC-009,Electronics,20,418.28,556.84,8365.6,7808.76
TXN-000119,20250319,CUST-0014,LOC-004,Office Supplies,24,119.08,372.16,2857.92,2485.76
TXN-000120,20250904,CUST-0034,LOC-003,Furniture,5,25.28,3.36,126.4,123.04
TXN-000121,20240920,CUST-0053,LOC-001,Industrial Equipment,34,85.71,302.76,2914.14,2611.38
TXN-000122,20240222,CUST-0020,LOC-002,Industrial Equipment,6,452.01,340.95,2712.06,2371.11
TXN-000123,20250725,CUST-0075,LOC-008,Industrial Equipment,2,439.47,124.54,878.94,754.4
TXN-000124,20250911,CUST-0016,LOC-001,Furniture,13,306.76,408.71,3987.88,3579.17
TXN-000125,20240105,CUST-0095,LOC-008,Office Supplies,43,308.25,988.49,13254.75,12266.26
TXN-000126,20240412,CUST-0070,LOC-007,Office Supplies,43,339.22,1351.83,14586.46,13234.63
TXN-000127,20240714,CUST-0056,LOC-008,Electronics,48,104.18,651.76,5000.64,4348.88
TXN-000128,20260212,CUST-0083,LOC-006,Office Supplies,11,458.92,432.08,5048.12,4616.04
TXN-000129,20260526,CUST-0058,LOC-009,Electronics,47,221.01,47.35,10387.47,10340.12
TXN-000130,20260602,CUST-0004,LOC-003,Furniture,23,203.91,654.91,4689.93,4035.02
TXN-000131,20241215,CUST-0004,LOC-010,Industrial Equipment,16,269.08,445.29,4305.28,3859.99
TXN-000132,20240216,CUST-0020,LOC-004,Industrial Equipment,31,42.54,133.82,1318.74,1184.92
TXN-000133,20260516,CUST-0010,LOC-006,Industrial Equipment,11,99.82,35.52,1098.02,1062.5
TXN-000134,20260402,CUST-0024,LOC-008,Office Supplies,16,374.26,591.83,5988.16,5396.33
TXN-000135,20260724,CUST-0099,LOC-005,Electronics,8,59.74,28.24,477.92,449.68
TXN-000136,20260330,CUST-0026,LOC-003,Electronics,4,309.51,120.94,1238.04,1117.1
TXN-000137,20251017,CUST-0037,LOC-006,Furniture,40,137.77,88.11,5510.8,5422.69
TXN-000138,20240925,CUST-0085,LOC-004,Office Supplies,4,206.86,81.65,827.44,745.79
TXN-000139,20250104,CUST-0054,LOC-009,Furniture,25,158.57,594.29,3964.25,3369.96
TXN-000140,20250927,CUST-0021,LOC-003,Electronics,3,190.72,4.14,572.16,568.02
TXN-000141,20240415,CUST-0074,LOC-004,Electronics,32,365.14,1712.67,11684.48,9971.81
TXN-000142,20251031,CUST-0038,LOC-007,Industrial Equipment,3,162.62,29.78,487.86,458.08
TXN-000143,20251020,CUST-0046,LOC-007,Office Supplies,27,291.87,1029.29,7880.49,6851.2
TXN-000144,20251018,CUST-0004,LOC-004,Electronics,29,248.5,845.74,7206.5,6360.76
TXN-000145,20240429,CUST-0060,LOC-006,Industrial Equipment,32,338.56,921.45,10833.92,9912.47
TXN-000146,20260410,CUST-0057,LOC-003,Office Supplies,19,469.68,988.48,8923.92,7935.44
TXN-000147,20260225,CUST-0045,LOC-006,Furniture,21,371.63,1028.42,7804.23,6775.81
TXN-000148,20250826,CUST-0020,LOC-002,Office Supplies,5,123.17,37.33,615.85,578.52
TXN-000149,20240227,CUST-0017,LOC-008,Office Supplies,18,34.97,30.88,629.46,598.58
TXN-000150,20241211,CUST-0071,LOC-002,Electronics,28,145.89,409.06,4084.92,3675.86
TXN-000151,20260110,CUST-0004,LOC-007,Electronics,42,305.64,1555.53,12836.88,11281.35
TXN-000152,20250418,CUST-0093,LOC-009,Office Supplies,22,44.68,112.39,982.96,870.57
TXN-000153,20240426,CUST-0014,LOC-001,Electronics,21,258.26,649.04,5423.46,4774.42
TXN-000154,20260409,CUST-0003,LOC-008,Electronics,6,306.48,120.15,1838.88,1718.73
TXN-000155,20260301,CUST-0088,LOC-007,Electronics,1,180.44,22.14,180.44,158.3
TXN-000156,20240506,CUST-0080,LOC-006,Industrial Equipment,5,390.04,35.16,1950.2,1915.04
TXN-000157,20250127,CUST-0058,LOC-006,Industrial Equipment,41,71.17,238.32,2917.97,2679.65
TXN-000158,20260626,CUST-0055,LOC-006,Office Supplies,12,56.07,0.58,672.84,672.26
TXN-000159,20251002,CUST-0004,LOC-009,Electronics,26,369.53,467.78,9607.78,9140.0
TXN-000160,20240227,CUST-0024,LOC-002,Industrial Equipment,46,257.84,651.97,11860.64,11208.67
TXN-000161,20250925,CUST-0034,LOC-001,Office Supplies,34,350.43,708.04,11914.62,11206.58
TXN-000162,20250527,CUST-0030,LOC-006,Electronics,49,228.72,1169.14,11207.28,10038.14
TXN-000163,20260120,CUST-0082,LOC-010,Furniture,14,138.27,112.82,1935.78,1822.96
TXN-000164,20260312,CUST-0019,LOC-008,Electronics,26,413.17,723.01,10742.42,10019.41
TXN-000165,20240405,CUST-0031,LOC-003,Electronics,45,403.72,647.33,18167.4,17520.07
TXN-000166,20250929,CUST-0060,LOC-010,Industrial Equipment,27,353.45,534.3,9543.15,9008.85
TXN-000167,20240427,CUST-0060,LOC-001,Office Supplies,9,150.63,46.22,1355.67,1309.45
TXN-000168,20250713,CUST-0019,LOC-009,Office Supplies,26,303.31,86.58,7886.06,7799.48
TXN-000169,20250823,CUST-0049,LOC-001,Industrial Equipment,47,193.27,822.23,9083.69,8261.46
TXN-000170,20250502,CUST-0063,LOC-003,Electronics,22,63.96,141.04,1407.12,1266.08
TXN-000171,20240824,CUST-0083,LOC-008,Furniture,47,460.31,2010.36,21634.57,19624.21
TXN-000172,20260603,CUST-0022,LOC-003,Electronics,30,85.67,178.68,2570.1,2391.42
TXN-000173,20260615,CUST-0024,LOC-004,Electronics,43,476.11,1166.29,20472.73,19306.44
TXN-000174,20240928,CUST-0076,LOC-008,Furniture,48,234.08,1455.04,11235.84,9780.8
TXN-000175,20240707,CUST-0030,LOC-001,Industrial Equipment,17,108.86,144.09,1850.62,1706.53
TXN-000176,20251204,CUST-0058,LOC-006,Office Supplies,26,280.11,523.47,7282.86,6759.39
TXN-000177,20250322,CUST-0031,LOC-001,Industrial Equipment,36,439.01,60.79,15804.36,15743.57
TXN-000178,20250803,CUST-0100,LOC-001,Industrial Equipment,1,371.47,19.01,371.47,352.46
TXN-000179,20260228,CUST-0064,LOC-008,Electronics,8,407.15,185.76,3257.2,3071.44
TXN-000180,20260510,CUST-0019,LOC-004,Office Supplies,49,336.22,985.58,16474.78,15489.2
TXN-000181,20240903,CUST-0048,LOC-001,Office Supplies,35,352.29,1073.04,12330.15,11257.11
TXN-000182,20240316,CUST-0045,LOC-010,Industrial Equipment,15,427.61,513.39,6414.15,5900.76
TXN-000183,20240602,CUST-0100,LOC-007,Furniture,47,139.84,599.32,6572.48,5973.16
TXN-000184,20251017,CUST-0094,LOC-005,Industrial Equipment,22,254.92,643.45,5608.24,4964.79
TXN-000185,20250310,CUST-0055,LOC-005,Furniture,14,126.18,215.42,1766.52,1551.1
TXN-000186,20240326,CUST-0055,LOC-001,Office Supplies,26,494.08,1383.76,12846.08,11462.32
TXN-000187,20251127,CUST-0097,LOC-010,Industrial Equipment,28,473.15,1898.85,13248.2,11349.35
TXN-000188,20241011,CUST-0018,LOC-006,Electronics,23,38.92,2.45,895.16,892.71
TXN-000189,20240807,CUST-0063,LOC-009,Industrial Equipment,14,358.68,147.47,5021.52,4874.05
TXN-000190,20240309,CUST-0092,LOC-009,Office Supplies,24,464.12,12.64,11138.88,11126.24
TXN-000191,20240216,CUST-0047,LOC-008,Electronics,2,106.68,20.72,213.36,192.64
TXN-000192,20240403,CUST-0075,LOC-005,Electronics,45,292.61,1773.72,13167.45,11393.73
TXN-000193,20260119,CUST-0057,LOC-001,Furniture,26,459.43,436.27,11945.18,11508.91
TXN-000194,20250328,CUST-0045,LOC-009,Electronics,14,36.29,70.65,508.06,437.41
TXN-000195,20240722,CUST-0033,LOC-001,Electronics,7,354.76,22.45,2483.32,2460.87
TXN-000196,20260630,CUST-0017,LOC-008,Industrial Equipment,3,162.73,68.43,488.19,419.76
TXN-000197,20240805,CUST-0070,LOC-005,Office Supplies,47,463.71,1149.51,21794.37,20644.86
TXN-000198,20250418,CUST-0004,LOC-003,Furniture,23,486.11,170.09,11180.53,11010.44
TXN-000199,20250307,CUST-0020,LOC-007,Industrial Equipment,46,473.25,1586.58,21769.5,20182.92
TXN-000200,20241206,CUST-0047,LOC-007,Electronics,43,247.62,410.11,10647.66,10237.55
TXN-000201,20250704,CUST-0091,LOC-009,Electronics,47,433.78,871.18,20387.66,19516.48
TXN-000202,20250903,CUST-0015,LOC-007,Furniture,45,425.38,882.33,19142.1,18259.77
TXN-000203,20241015,CUST-0070,LOC-003,Office Supplies,18,173.17,375.46,3117.06,2741.6
TXN-000204,20240910,CUST-0047,LOC-001,Furniture,38,417.88,1284.24,15879.44,14595.2
TXN-000205,20260103,CUST-0078,LOC-008,Industrial Equipment,35,37.76,61.71,1321.6,1259.89
TXN-000206,20241222,CUST-0075,LOC-003,Furniture,15,306.21,420.5,4593.15,4172.65
TXN-000207,20240123,CUST-0009,LOC-008,Electronics,25,130.4,350.2,3260.0,2909.8
TXN-000208,20260131,CUST-0090,LOC-008,Industrial Equipment,37,77.87,117.82,2881.19,2763.37
TXN-000209,20250605,CUST-0016,LOC-005,Electronics,28,56.94,98.9,1594.32,1495.42
TXN-000210,20260127,CUST-0069,LOC-001,Office Supplies,10,354.22,64.76,3542.2,3477.44
TXN-000211,20260416,CUST-0061,LOC-010,Electronics,39,183.14,194.08,7142.46,6948.38
TXN-000212,20240409,CUST-0010,LOC-007,Electronics,17,367.89,638.97,6254.13,5615.16
TXN-000213,20260312,CUST-0050,LOC-010,Furniture,39,51.37,54.52,2003.43,1948.91
TXN-000214,20240628,CUST-0003,LOC-005,Electronics,22,171.34,296.94,3769.48,3472.54
TXN-000215,20240810,CUST-0077,LOC-008,Industrial Equipment,26,278.96,771.4,7252.96,6481.56
TXN-000216,20260624,CUST-0094,LOC-009,Industrial Equipment,44,399.55,281.84,17580.2,17298.36
TXN-000217,20260131,CUST-0070,LOC-007,Office Supplies,25,173.0,368.04,4325.0,3956.96
TXN-000218,20251020,CUST-0081,LOC-007,Industrial Equipment,17,320.43,209.64,5447.31,5237.67
TXN-000219,20250317,CUST-0051,LOC-001,Furniture,13,445.27,836.09,5788.51,4952.42
TXN-000220,20250830,CUST-0019,LOC-004,Office Supplies,20,315.61,457.84,6312.2,5854.36
TXN-000221,20260207,CUST-0042,LOC-002,Industrial Equipment,25,131.82,398.42,3295.5,2897.08
TXN-000222,20241120,CUST-0035,LOC-002,Furniture,4,31.71,10.47,126.84,116.37
TXN-000223,20250530,CUST-0046,LOC-002,Industrial Equipment,10,437.65,28.5,4376.5,4348.0
TXN-000224,20240116,CUST-0026,LOC-004,Industrial Equipment,3,30.21,8.61,90.63,82.02
TXN-000225,20260302,CUST-0069,LOC-001,Electronics,41,439.86,2573.68,18034.26,15460.58
TXN-000226,20241201,CUST-0093,LOC-004,Industrial Equipment,45,273.89,1112.23,12325.05,11212.82
TXN-000227,20260128,CUST-0064,LOC-002,Industrial Equipment,18,470.75,1041.21,8473.5,7432.29
TXN-000228,20240914,CUST-0037,LOC-005,Furniture,47,403.42,2514.78,18960.74,16445.96
TXN-000229,20250511,CUST-0084,LOC-003,Furniture,36,499.01,614.6,17964.36,17349.76
TXN-000230,20260614,CUST-0049,LOC-008,Electronics,47,188.34,281.55,8851.98,8570.43
TXN-000231,20240608,CUST-0021,LOC-004,Industrial Equipment,22,388.25,782.8,8541.5,7758.7
TXN-000232,20250419,CUST-0074,LOC-001,Electronics,34,212.93,446.35,7239.62,6793.27
TXN-000233,20260501,CUST-0064,LOC-001,Industrial Equipment,47,250.34,1482.27,11765.98,10283.71
TXN-000234,20251025,CUST-0005,LOC-010,Office Supplies,8,321.2,346.9,2569.6,2222.7
TXN-000235,20260626,CUST-0100,LOC-003,Office Supplies,40,439.37,931.7,17574.8,16643.1
TXN-000236,20251120,CUST-0070,LOC-009,Electronics,49,492.36,857.2,24125.64,23268.44
TXN-000237,20251105,CUST-0090,LOC-007,Electronics,44,388.77,2002.74,17105.88,15103.14
TXN-000238,20250114,CUST-0004,LOC-002,Electronics,19,220.53,172.72,4190.07,4017.35
TXN-000239,20250628,CUST-0039,LOC-009,Furniture,42,222.25,1151.8,9334.5,8182.7
TXN-000240,20260717,CUST-0035,LOC-010,Furniture,41,374.04,974.74,15335.64,14360.9
TXN-000241,20251121,CUST-0001,LOC-002,Furniture,37,134.61,498.72,4980.57,4481.85
TXN-000242,20250302,CUST-0024,LOC-003,Electronics,6,73.03,6.28,438.18,431.9
TXN-000243,20250904,CUST-0057,LOC-010,Industrial Equipment,26,190.22,462.82,4945.72,4482.9
TXN-000244,20240924,CUST-0100,LOC-002,Office Supplies,34,157.87,363.73,5367.58,5003.85
TXN-000245,20260414,CUST-0070,LOC-003,Electronics,45,162.23,642.37,7300.35,6657.98
TXN-000246,20250730,CUST-0041,LOC-006,Furniture,6,132.13,19.98,792.78,772.8
TXN-000247,20250220,CUST-0054,LOC-009,Furniture,37,40.2,164.4,1487.4,1323.0
TXN-000248,20240616,CUST-0046,LOC-009,Electronics,33,28.58,122.06,943.14,821.08
TXN-000249,20260421,CUST-0060,LOC-007,Electronics,22,494.11,353.41,10870.42,10517.01
TXN-000250,20240212,CUST-0060,LOC-003,Furniture,21,225.33,67.94,4731.93,4663.99
TXN-000251,20250709,CUST-0057,LOC-004,Industrial Equipment,6,204.48,4.35,1226.88,1222.53
TXN-000252,20241011,CUST-0031,LOC-006,Furniture,6,346.23,200.04,2077.38,1877.34
TXN-000253,20250131,CUST-0084,LOC-005,Furniture,48,124.76,545.34,5988.48,5443.14
TXN-000254,20240112,CUST-0024,LOC-002,Electronics,4,475.98,156.13,1903.92,1747.79
TXN-000255,20250829,CUST-0089,LOC-006,Industrial Equipment,30,397.45,414.84,11923.5,11508.66
TXN-000256,20241028,CUST-0036,LOC-003,Furniture,11,62.92,40.58,692.12,651.54
TXN-000257,20260616,CUST-0085,LOC-008,Furniture,30,220.44,589.71,6613.2,6023.49
TXN-000258,20240909,CUST-0030,LOC-002,Office Supplies,31,441.98,1020.96,13701.38,12680.42
TXN-000259,20250513,CUST-0024,LOC-001,Electronics,24,473.47,1683.67,11363.28,9679.61
TXN-000260,20260123,CUST-0030,LOC-009,Office Supplies,9,244.35,45.01,2199.15,2154.14
TXN-000261,20240204,CUST-0086,LOC-003,Office Supplies,3,314.44,98.36,943.32,844.96
TXN-000262,20251227,CUST-0092,LOC-001,Furniture,31,100.18,188.35,3105.58,2917.23
TXN-000263,20260428,CUST-0007,LOC-007,Electronics,40,495.76,1273.71,19830.4,18556.69
TXN-000264,20240330,CUST-0035,LOC-010,Industrial Equipment,37,131.2,522.53,4854.4,4331.87
TXN-000265,20260214,CUST-0055,LOC-005,Furniture,36,472.51,1766.79,17010.36,15243.57
TXN-000266,20250827,CUST-0092,LOC-005,Industrial Equipment,24,331.83,1184.14,7963.92,6779.78
TXN-000267,20260710,CUST-0014,LOC-001,Industrial Equipment,31,311.71,186.1,9663.01,9476.91
TXN-000268,20250824,CUST-0010,LOC-009,Electronics,6,266.09,24.93,1596.54,1571.61
TXN-000269,20250221,CUST-0080,LOC-007,Office Supplies,2,130.72,28.41,261.44,233.03
TXN-000270,20240424,CUST-0016,LOC-008,Electronics,20,104.73,181.72,2094.6,1912.88
TXN-000271,20250908,CUST-0054,LOC-009,Industrial Equipment,28,125.83,144.89,3523.24,3378.35
TXN-000272,20260621,CUST-0095,LOC-006,Furniture,11,109.49,14.35,1204.39,1190.04
TXN-000273,20240714,CUST-0089,LOC-005,Industrial Equipment,4,394.2,20.26,1576.8,1556.54
TXN-000274,20260405,CUST-0077,LOC-006,Furniture,15,188.06,378.36,2820.9,2442.54
TXN-000275,20250515,CUST-0070,LOC-002,Furniture,6,47.76,8.25,286.56,278.31
TXN-000276,20250917,CUST-0044,LOC-004,Electronics,49,485.17,1153.14,23773.33,22620.19
