ledger_id,date_id,location_id,account_category,department,budget_amount,actual_amount
LED-000033,20251209,LOC-009,Payroll,Sales,38941.92,45650.38
LED-000034,20260502,LOC-006,COGS,Marketing,46329.19,48856.78
LED-000035,20240504,LOC-006,Marketing Spend,Sales,47791.79,49627.77
LED-000036,20240517,LOC-008,OpEx,IT,30970.52,29239.23
LED-000037,20241204,LOC-005,COGS,Finance,21070.45,20627.07
LED-000038,20250620,LOC-003,COGS,Marketing,40439.71,47046.39
LED-000039,20240308,LOC-003,Marketing Spend,IT,16295.06,17651.82
LED-000040,20250726,LOC-006,Revenue,Marketing,30383.33,34199.03
LED-000041,20250624,LOC-002,Revenue,IT,21136.03,21326.7
LED-000042,20250117,LOC-006,Payroll,Sales,34548.4,36987.05
LED-000043,20240119,LOC-006,Marketing Spend,Operations,15817.95,14820.38
LED-000044,20251113,LOC-008,OpEx,Finance,13621.68,14941.77
LED-000045,20250325,LOC-007,OpEx,HR,46320.76,46305.03
LED-000046,20240314,LOC-008,Marketing Spend,HR,9581.17,9628.03
LED-000047,20250726,LOC-009,OpEx,Sales,27768.11,29913.55
LED-000048,20260727,LOC-006,Revenue,Finance,14938.38,17592.9
LED-000049,20251026,LOC-003,OpEx,Finance,6751.85,5890.33
LED-000050,20241002,LOC-010,OpEx,Sales,6620.85,7538.9
LED-000051,20240217,LOC-003,Marketing Spend,Finance,12884.98,12270.81
LED-000052,20240729,LOC-001,Marketing Spend,Operations,44004.67,44241.05
LED-000053,20260504,LOC-005,OpEx,Sales,17711.54,15190.65
LED-000054,20260708,LOC-004,COGS,Operations,47770.66,45638.47
LED-000055,20251012,LOC-009,Marketing Spend,Finance,31173.0,31981.03
LED-000056,20250913,LOC-009,Payroll,Sales,24647.64,21435.11
LED-000057,20251125,LOC-005,Payroll,Finance,31104.0,31784.66
LED-000058,20250623,LOC-010,Revenue,Sales,28251.43,33180.99
LED-000059,20251209,LOC-004,OpEx,Finance,39144.93,34717.15
LED-000060,20240709,LOC-007,COGS,Operations,17712.32,19794.48
LED-000061,20241110,LOC-006,Revenue,Operations,20887.27,20749.1
LED-000062,20260619,LOC-004,OpEx,Finance,45234.24,48821.8
LED-000063,20250716,LOC-010,Marketing Spend,Sales,47590.54,44786.64
LED-000064,20251022,LOC-002,Payroll,HR,45165.12,40911.57
LED-000065,20260218,LOC-001,COGS,Operations,23875.16,21634.76
LED-000066,20250715,LOC-004,Payroll,Operations,40116.45,35088.74
LED-000067,20260618,LOC-004,Marketing Spend,IT,26435.11,24187.5
LED-000068,20260127,LOC-001,OpEx,HR,27389.29,29648.27
LED-000069,20240422,LOC-006,Marketing Spend,Finance,14210.6,16464.28
LED-000070,20240618,LOC-004,Marketing Spend,Sales,31600.86,35865.21
LED-000071,20250412,LOC-001,Payroll,IT,13376.12,14577.26
LED-000072,20251108,LOC-001,COGS,Finance,19920.41,17702.3
LED-000073,20260709,LOC-001,Marketing Spend,Marketing,43476.36,41355.39
LED-000074,20240114,LOC-008,Payroll,Operations,14318.41,13723.23
LED-000075,20251215,LOC-010,COGS,Marketing,8202.12,7689.36
LED-000076,20241014,LOC-008,OpEx,Operations,8105.34,8350.54
LED-000077,20260625,LOC-002,OpEx,Operations,47335.3,49107.72
LED-000078,20240707,LOC-007,Revenue,Marketing,27811.42,27113.63
LED-000079,20260702,LOC-008,Payroll,Marketing,23423.54,22810.46
LED-000080,20240603,LOC-008,COGS,Finance,41489.54,47297.85
LED-000081,20250720,LOC-010,Marketing Spend,IT,42612.17,47992.06
LED-000082,20251124,LOC-007,OpEx,IT,19948.6,19105.34
LED-000083,20251222,LOC-005,COGS,Marketing,36212.81,42362.69
LED-000084,20260606,LOC-001,Payroll,Finance,39700.53,46984.99
LED-000085,20250415,LOC-009,Revenue,IT,34459.28,33231.15
LED-000086,20240315,LOC-007,OpEx,Finance,11821.78,11514.99
LED-000087,20241003,LOC-002,COGS,Finance,44414.74,45612.69
LED-000088,20260728,LOC-006,COGS,Operations,29259.25,34508.13
LED-000089,20251006,LOC-002,COGS,IT,17711.26,20486.82
LED-000090,20241208,LOC-001,Payroll,IT,24135.27,21381.41
LED-000091,20250228,LOC-007,Payroll,Operations,6690.7,6606.77
LED-000092,20250724,LOC-002,Payroll,Marketing,10754.01,11223.74
LED-000093,20250525,LOC-002,Marketing Spend,Operations,39449.6,40479.09
LED-000094,20260506,LOC-005,COGS,IT,5000.52,4589.74
LED-000095,20240630,LOC-005,OpEx,IT,23745.46,27321.19
LED-000096,20250402,LOC-007,Payroll,Marketing,28512.96,30991.57
LED-000097,20260706,LOC-001,Payroll,Operations,7458.55,8527.12
LED-000098,20260430,LOC-008,COGS,Sales,48788.52,56134.49
LED-000099,20260412,LOC-003,Payroll,Sales,15175.64,16874.17
LED-000100,20240304,LOC-004,Marketing Spend,Marketing,18688.94,18758.53
LED-000101,20260418,LOC-009,Marketing Spend,Operations,18677.41,19867.0
LED-000102,20240916,LOC-004,Payroll,Operations,15368.75,13926.05
LED-000103,20240711,LOC-010,COGS,Finance,5066.32,5500.89
LED-000104,20251016,LOC-005,COGS,IT,37820.52,34520.25
LED-000105,20250907,LOC-007,COGS,HR,48508.05,53013.59
LED-000106,20250209,LOC-004,Revenue,Marketing,15093.21,14042.11
LED-000107,20251226,LOC-001,Payroll,HR,34837.12,31044.85
LED-000108,20260123,LOC-009,COGS,HR,38385.33,34848.11
LED-000109,20260731,LOC-004,Marketing Spend,Marketing,43179.14,36732.38
LED-000110,20251221,LOC-009,OpEx,Operations,24018.31,26457.58
LED-000111,20240402,LOC-006,OpEx,Marketing,18631.89,20613.21
LED-000112,20250305,LOC-001,COGS,HR,19638.28,20231.88
LED-000113,20251015,LOC-003,OpEx,IT,37067.96,33601.25
LED-000114,20250309,LOC-002,OpEx,IT,41755.08,36712.9
LED-000115,20250207,LOC-009,Revenue,IT,13172.63,11284.93
LED-000116,20250309,LOC-001,Marketing Spend,Operations,21692.35,19696.91
LED-000117,20240421,LOC-009,Marketing Spend,Sales,45587.31,52963.31
LED-000118,20260717,LOC-009,Revenue,Marketing,41301.21,38597.55
LED-000119,20250109,LOC-008,Revenue,IT,49318.63,48036.1
LED-000120,20240228,LOC-008,OpEx,Marketing,38941.17,34535.79
LED-000121,20240212,LOC-001,Payroll,IT,22693.78,21055.89
LED-000122,20240725,LOC-008,OpEx,Operations,31578.7,32580.65
LED-000123,20260218,LOC-010,Revenue,Sales,34745.64,36924.66
LED-000124,20241022,LOC-003,Marketing Spend,Sales,8530.51,7983.48
LED-000125,20240427,LOC-007,OpEx,IT,29502.36,25673.14
LED-000126,20250615,LOC-001,Payroll,Operations,36919.44,36434.37
LED-000127,20240809,LOC-001,OpEx,Finance,12529.46,11677.1
LED-000128,20240614,LOC-010,COGS,Marketing,40128.43,37192.79
LED-000129,20251004,LOC-005,OpEx,Marketing,31269.78,37084.46
LED-000130,20240604,LOC-005,Revenue,HR,47849.98,50993.97
LED-000131,20240702,LOC-008,Marketing Spend,Operations,6909.0,7219.27
LED-000132,20240330,LOC-007,Marketing Spend,HR,16939.68,16863.81
LED-000133,20240403,LOC-008,Revenue,IT,32069.92,32074.11
LED-000134,20240113,LOC-006,COGS,HR,18345.2,19066.47
LED-000135,20260413,LOC-006,Revenue,Sales,37149.09,40631.83
LED-000136,20260315,LOC-002,OpEx,Marketing,39155.24,42904.4
LED-000137,20260111,LOC-006,Revenue,HR,9613.22,8748.92
LED-000138,20260413,LOC-005,Revenue,Sales,28123.45,28827.65
LED-000139,20260314,LOC-003,COGS,Operations,27900.08,27737.85
LED-000140,20250313,LOC-006,OpEx,HR,21617.63,24961.54
LED-000141,20250621,LOC-008,Payroll,IT,46981.62,50317.16
LED-000142,20250809,LOC-009,Payroll,IT,42237.78,43774.24
LED-000143,20260525,LOC-001,Marketing Spend,IT,36374.42,32387.35
LED-000144,20260724,LOC-003,Revenue,Marketing,37144.7,39446.68
LED-000145,20260321,LOC-003,Marketing Spend,HR,25777.23,22968.06
LED-000146,20240529,LOC-008,COGS,Operations,46444.75,44959.55
LED-000147,20251021,LOC-001,Payroll,HR,36256.79,32630.92
LED-000148,20240108,LOC-005,Revenue,Marketing,37804.15,41290.67
LED-000149,20240129,LOC-003,COGS,Sales,43776.09,40369.8
LED-000150,20241022,LOC-002,COGS,Marketing,17333.22,17110.5
LED-000151,20260714,LOC-008,Revenue,IT,41318.19,48073.14
LED-000152,20251221,LOC-003,COGS,Sales,13785.83,12703.79
LED-000153,20251001,LOC-007,Revenue,IT,20540.39,21110.01
LED-000154,20241205,LOC-001,Revenue,Finance,20102.47,20037.04
LED-000155,20250919,LOC-006,OpEx,Marketing,49033.65,41989.64
LED-000156,20250314,LOC-003,Marketing Spend,Marketing,43544.18,49094.55
LED-000157,20240523,LOC-008,COGS,Operations,36552.64,31953.08
LED-000158,20260730,LOC-006,COGS,HR,37717.55,38320.63
LED-000159,20260409,LOC-002,OpEx,Sales,30293.28,31693.96
LED-000160,20260116,LOC-006,OpEx,Sales,47619.08,50950.0
LED-000161,20250602,LOC-007,OpEx,Operations,27331.64,29819.4
LED-000162,20240214,LOC-005,Payroll,Operations,22123.3,20765.93
LED-000163,20240826,LOC-003,Payroll,HR,12336.59,10529.19
LED-000164,20260801,LOC-004,Payroll,IT,40379.25,44546.6
LED-000165,20240603,LOC-004,Revenue,HR,38049.98,39476.09
LED-000166,20240629,LOC-006,COGS,Marketing,22295.98,25476.31
LED-000167,20240802,LOC-010,Marketing Spend,IT,6133.7,6977.0
LED-000168,20240328,LOC-001,Revenue,Finance,42754.88,48961.36
LED-000169,20240912,LOC-004,COGS,HR,5513.81,5622.89
LED-000170,20250525,LOC-010,COGS,Operations,36666.49,35448.06
LED-000171,20240313,LOC-004,OpEx,IT,48661.57,54843.8
LED-000172,20260719,LOC-010,OpEx,HR,24694.76,24891.16
LED-000173,20240627,LOC-001,Revenue,Sales,15573.8,14237.64
LED-000174,20240730,LOC-009,OpEx,Finance,36719.2,42199.21
LED-000175,20260315,LOC-004,COGS,Marketing,41770.77,48407.98
LED-000176,20240821,LOC-007,OpEx,Sales,29589.36,29980.19
LED-000177,20250409,LOC-003,Payroll,Sales,48516.59,42524.54
LED-000178,20260120,LOC-010,OpEx,Finance,7325.09,7220.63
LED-000179,20240810,LOC-003,COGS,Marketing,27715.8,31353.17
LED-000180,20250922,LOC-008,Revenue,Operations,37330.43,43513.13
LED-000181,20260404,LOC-008,Marketing Spend,IT,43818.82,40366.57
LED-000182,20240920,LOC-001,OpEx,Marketing,13066.5,11412.81
LED-000183,20240725,LOC-010,COGS,HR,41000.16,47440.16
LED-000184,20250829,LOC-002,Marketing Spend,Sales,29871.82,29462.33
LED-000185,20260603,LOC-008,Marketing Spend,HR,22844.92,23749.95
LED-000186,20260103,LOC-001,Payroll,Operations,10927.18,12990.48
LED-000187,20241231,LOC-008,Marketing Spend,HR,43938.31,38371.22
LED-000188,20241002,LOC-008,COGS,Marketing,12077.29,13006.17
LED-000189,20250114,LOC-002,COGS,HR,18940.45,16590.64
LED-000190,20260112,LOC-004,OpEx,Operations,18052.05,17716.54
LED-000191,20241104,LOC-006,OpEx,Operations,44213.63,50020.43
LED-000192,20250922,LOC-009,OpEx,Operations,35271.63,35332.13
LED-000193,20240924,LOC-008,Marketing Spend,Marketing,40850.66,48980.51
LED-000194,20260223,LOC-008,Marketing Spend,Operations,16271.06,17014.17
LED-000195,20240304,LOC-007,Payroll,Sales,33119.33,31874.27
LED-000196,20260320,LOC-009,OpEx,Operations,30728.57,28486.58
LED-000197,20241215,LOC-002,Revenue,HR,42477.37,41316.98
LED-000198,20260713,LOC-003,Payroll,IT,45773.92,44876.14
LED-000199,20260703,LOC-010,Revenue,HR,5547.05,4848.4
LED-000200,20250508,LOC-008,Marketing Spend,IT,35330.9,34601.35
LED-000201,20250606,LOC-006,Payroll,HR,7332.61,7424.15
LED-000202,20240407,LOC-010,Payroll,Marketing,29698.64,32756.36
LED-000203,20240311,LOC-009,COGS,HR,17943.47,19376.35
LED-000204,20241229,LOC-010,Marketing Spend,Marketing,18804.95,20649.11
LED-000205,20250723,LOC-004,Marketing Spend,Marketing,20883.13,17811.79
LED-000206,20260312,LOC-008,Payroll,Operations,32958.16,30525.31
LED-000207,20260201,LOC-010,Marketing Spend,Sales,20032.25,21666.67
LED-000208,20241002,LOC-003,Payroll,IT,37971.46,38707.97
LED-000209,20240219,LOC-003,COGS,Operations,23203.73,19766.32
LED-000210,20241223,LOC-008,Payroll,Operations,8075.89,9138.46
LED-000211,20251228,LOC-005,Marketing Spend,Marketing,40269.19,45120.96
LED-000212,20260624,LOC-003,Marketing Spend,Marketing,17859.12,18608.25
LED-000213,20260716,LOC-010,Payroll,IT,24474.51,21372.66
LED-000214,20250717,LOC-001,Payroll,HR,35844.97,40084.72
LED-000215,20260221,LOC-003,Payroll,HR,19960.53,21044.38
LED-000216,20250429,LOC-009,OpEx,Operations,7546.35,8479.73
LED-000217,20240324,LOC-005,Marketing Spend,Finance,21826.45,24295.27
LED-000218,20260617,LOC-010,Marketing Spend,Finance,47500.19,53725.12
LED-000219,20260315,LOC-002,OpEx,HR,33878.05,34938.53
LED-000220,20250929,LOC-007,Payroll,Finance,35216.56,31663.69
LED-000221,20260318,LOC-002,COGS,HR,33452.7,36293.01
LED-000222,20250806,LOC-004,Payroll,Marketing,13954.65,14891.93
LED-000223,20241022,LOC-007,Payroll,Operations,23825.02,26440.74
LED-000224,20240823,LOC-004,OpEx,Sales,38792.29,35279.97
LED-000225,20240225,LOC-007,Marketing Spend,Operations,9561.78,8780.02
LED-000226,20260707,LOC-007,Payroll,HR,17503.37,20332.67
LED-000227,20241225,LOC-001,Marketing Spend,HR,17434.36,19395.59
LED-000228,20260625,LOC-006,Revenue,Operations,24440.85,28543.98
LED-000229,20240419,LOC-009,Marketing Spend,IT,49116.59,54792.03
LED-000230,20240710,LOC-002,COGS,HR,8037.61,8511.86
LED-000231,20260622,LOC-003,COGS,Finance,28341.54,30579.0
LED-000232,20240402,LOC-010,Payroll,Finance,13071.41,15178.45
LED-000233,20260511,LOC-005,Marketing Spend,HR,48680.44,51240.17
LED-000234,20250721,LOC-009,Payroll,HR,10098.66,10819.07
LED-000235,20240229,LOC-004,OpEx,IT,23162.05,20956.26
LED-000236,20251011,LOC-001,COGS,Finance,38204.82,38811.22
LED-000237,20240208,LOC-004,Payroll,HR,36704.95,40402.57
LED-000238,20250623,LOC-006,OpEx,HR,24022.79,22697.45
LED-000239,20240218,LOC-005,Payroll,IT,20593.59,18962.35
LED-000240,20250223,LOC-001,Marketing Spend,IT,22892.56,21973.18
LED-000241,20250928,LOC-004,Marketing Spend,Operations,16892.43,15786.4
LED-000242,20240113,LOC-006,Marketing Spend,IT,14239.98,13175.11
LED-000243,20240205,LOC-010,Marketing Spend,Sales,26736.79,26701.97
LED-000244,20240410,LOC-010,Revenue,Finance,17084.02,19949.75
LED-000245,20260304,LOC-004,OpEx,Operations,17935.77,18428.48
LED-000246,20240326,LOC-009,OpEx,Sales,34554.02,31643.61
LED-000247,20250530,LOC-005,Marketing Spend,HR,48584.18,42605.41
LED-000248,20240810,LOC-008,Revenue,HR,32163.67,35175.95
LED-000249,20241203,LOC-009,Marketing Spend,Operations,8464.08,8328.48
LED-000250,20240614,LOC-010,Revenue,IT,8401.26,9557.62
LED-000251,20250117,LOC-005,Marketing Spend,HR,47814.04,51678.79
LED-000252,20260505,LOC-006,COGS,Marketing,18378.09,20743.07
LED-000253,20260613,LOC-001,COGS,Operations,9143.01,8641.8
LED-000254,20250110,LOC-007,Payroll,Sales,31957.01,34907.46
LED-000255,20250415,LOC-004,Marketing Spend,Operations,33064.2,31160.42
LED-000256,20260228,LOC-002,OpEx,Finance,34182.72,40290.28
LED-000257,20251003,LOC-005,Payroll,IT,17033.09,18271.92
LED-000258,20240131,LOC-003,COGS,IT,5679.98,5473.11
LED-000259,20250109,LOC-006,Marketing Spend,Operations,48425.69,45729.79
LED-000260,20240111,LOC-008,Payroll,HR,16290.19,14935.24
LED-000261,20241028,LOC-007,Marketing Spend,HR,35421.18,38719.75
LED-000262,20240405,LOC-003,COGS,Marketing,36798.34,34095.52
LED-000263,20240708,LOC-008,Payroll,Marketing,32450.33,34344.01
LED-000264,20250328,LOC-002,COGS,IT,19080.83,17986.02
LED-000265,20240710,LOC-010,Revenue,Marketing,17199.33,18604.33
LED-000266,20250430,LOC-009,COGS,Sales,31895.07,36208.21
LED-000267,20240922,LOC-004,Marketing Spend,Marketing,43974.3,49352.75
LED-000268,20250227,LOC-001,OpEx,Sales,47603.02,53139.15
LED-000269,20240507,LOC-008,COGS,Marketing,9765.76,8942.53
LED-000270,20240825,LOC-007,OpEx,IT,11967.29,10542.4
LED-000271,20260708,LOC-005,Revenue,IT,47513.13,52009.4
LED-000272,20241220,LOC-010,Payroll,Sales,38144.09,37340.07
LED-000273,20260728,LOC-005,Payroll,Operations,44734.72,44793.82
LED-000274,20240421,LOC-007,OpEx,IT,14118.47,12154.62
LED-000275,20260407,LOC-005,Payroll,Operations,31441.36,29581.66
LED-000276,20250321,LOC-008,COGS,HR,36551.28,31499.41
LED-000277,20241208,LOC-006,OpEx,Sales,35605.03,41220.48
LED-000278,20240524,LOC-005,Marketing Spend,IT,23366.83,21852.4
LED-000279,20240305,LOC-009,COGS,Finance,5692.77,5949.33
LED-000280,20240903,LOC-002,COGS,HR,31231.67,26973.01
LED-000281,20260104,LOC-001,COGS,Operations,16389.57,17756.4
LED-000282,20250504,LOC-008,Marketing Spend,IT,25261.44,24328.27
LED-000283,20260404,LOC-003,Revenue,Sales,48091.15,55991.17
LED-000284,20250314,LOC-007,Payroll,Marketing,22956.59,26648.96
LED-000285,20240415,LOC-010,OpEx,Finance,42791.07,41244.25
LED-000286,20240629,LOC-008,Revenue,Operations,13484.33,15713.78
LED-000287,20240702,LOC-006,OpEx,HR,35260.72,42265.44
LED-000288,20240813,LOC-010,Payroll,Sales,48965.31,55766.37
LED-000289,20260215,LOC-009,Marketing Spend,Finance,9585.19,10981.8
LED-000290,20260228,LOC-007,COGS,Sales,5374.4,5036.64
LED-000291,20260627,LOC-010,COGS,IT,24511.23,25782.04
LED-000292,20240329,LOC-005,Marketing Spend,Marketing,9168.15,8008.74
LED-000293,20251118,LOC-008,Revenue,HR,38677.3,34160.61
LED-000294,20250613,LOC-002,Revenue,Sales,46154.69,55367.74
LED-000295,20250105,LOC-007,OpEx,Operations,24530.94,23655.77
LED-000296,20260724,LOC-004,Marketing Spend,IT,16642.02,18503.67
LED-000297,20260701,LOC-009,Revenue,IT,24548.15,27796.67
LED-000298,20250202,LOC-001,Marketing Spend,HR,37555.15,43199.99
LED-000299,20240415,LOC-007,Payroll,IT,5407.44,6484.44
LED-000300,20240927,LOC-006,COGS,Operations,31525.43,29461.26
