employee_id,hire_date,exit_date,department,job_title,employment_status,termination_type,monthly_salary,location_id
EMP-0053,2024-07-05,,Operations,Analyst,Active,None,9678,LOC-001
EMP-0054,2024-01-31,,HR,Lead,Active,None,8529,LOC-007
EMP-0055,2024-09-16,,Customer Support,Specialist,Active,None,9604,LOC-010
EMP-0056,2025-02-24,,Sales,Analyst,Active,None,6918,LOC-003
EMP-0057,2025-06-12,,HR,Specialist,Active,None,4067,LOC-008
EMP-0058,2025-07-04,,Customer Support,Analyst,Active,None,3026,LOC-004
EMP-0059,2024-10-30,2026-06-05,Operations,Manager,Terminated,Voluntary,9937,LOC-004
EMP-0060,2024-02-08,,Customer Support,Director,Active,None,10264,LOC-005
EMP-0061,2025-05-03,,HR,Specialist,Active,None,10118,LOC-006
EMP-0062,2025-06-25,,Sales,Lead,Active,None,3547,LOC-007
EMP-0063,2024-10-04,,Sales,Manager,Active,None,13860,LOC-004
EMP-0064,2024-07-21,2025-09-21,Customer Support,Analyst,Terminated,Involuntary,11758,LOC-008
EMP-0065,2024-03-06,,HR,Specialist,Active,None,11895,LOC-006
EMP-0066,2024-04-17,2026-05-23,Finance,Analyst,Terminated,Voluntary,8338,LOC-001
EMP-0067,2024-09-24,2026-04-23,Operations,Analyst,Terminated,Voluntary,6140,LOC-001
EMP-0068,2024-08-09,,Operations,Analyst,Active,None,10996,LOC-009
EMP-0069,2025-06-13,,HR,Director,Active,None,4590,LOC-010
EMP-0070,2024-03-30,,Finance,Director,Active,None,10776,LOC-006
EMP-0071,2024-09-11,2025-09-06,Sales,Lead,Terminated,Voluntary,7943,LOC-010
EMP-0072,2025-03-30,,Marketing,Specialist,Active,None,11997,LOC-008
EMP-0073,2024-09-09,,Marketing,Manager,Active,None,10798,LOC-007
EMP-0074,2024-09-13,,HR,Manager,Active,None,6791,LOC-006
EMP-0075,2025-01-17,,Finance,Manager,Active,None,4357,LOC-004
EMP-0076,2025-03-17,,Finance,Analyst,Active,None,11092,LOC-007
EMP-0077,2025-08-21,,Operations,Director,Active,None,6225,LOC-009
EMP-0078,2024-03-30,2026-02-06,Sales,Specialist,Terminated,Voluntary,14810,LOC-010
EMP-0079,2025-01-24,2026-01-06,Customer Support,Analyst,Terminated,Voluntary,13318,LOC-010
EMP-0080,2025-08-04,2026-03-19,Finance,Director,Terminated,Voluntary,5460,LOC-007
EMP-0081,2024-02-13,,Customer Support,Director,Active,None,11737,LOC-001
EMP-0082,2025-08-20,,Marketing,Specialist,Active,None,5728,LOC-010
EMP-0083,2024-01-19,,Customer Support,Specialist,Active,None,14926,LOC-009
EMP-0084,2024-04-10,,Sales,Specialist,Active,None,9726,LOC-004
EMP-0085,2024-12-22,,Sales,Analyst,Active,None,13754,LOC-003
EMP-0086,2025-06-25,,Customer Support,Lead,Active,None,10481,LOC-004
EMP-0087,2024-02-02,,HR,Specialist,Active,None,13271,LOC-004
EMP-0088,2024-08-16,2025-11-29,Finance,Lead,Terminated,Voluntary,9430,LOC-010
EMP-0089,2025-06-07,,HR,Analyst,Active,None,13833,LOC-002
EMP-0090,2024-06-03,,Customer Support,Lead,Active,None,6114,LOC-001
EMP-0091,2025-02-26,,Finance,Manager,Active,None,13118,LOC-010
EMP-0092,2024-09-02,,Operations,Lead,Active,None,3616,LOC-001
EMP-0093,2025-02-08,,HR,Specialist,Active,None,6644,LOC-008
EMP-0094,2025-06-24,2025-10-30,HR,Analyst,Terminated,Voluntary,9413,LOC-002
EMP-0095,2024-06-09,2026-05-25,Customer Support,Specialist,Terminated,Involuntary,4203,LOC-010
EMP-0096,2024-04-26,2025-12-11,Marketing,Manager,Terminated,Voluntary,12951,LOC-005
EMP-0097,2024-09-27,2025-09-04,Customer Support,Specialist,Terminated,Voluntary,5565,LOC-004
EMP-0098,2025-05-01,,HR,Specialist,Active,None,6174,LOC-008
EMP-0099,2024-06-20,,Finance,Specialist,Active,None,6081,LOC-002
EMP-0100,2024-09-30,,Marketing,Director,Active,None,5630,LOC-010
EMP-0101,2024-09-15,,Customer Support,Manager,Active,None,6161,LOC-009
EMP-0102,2024-05-14,,Customer Support,Specialist,Active,None,7321,LOC-007
EMP-0103,2025-02-25,,HR,Specialist,Active,None,11861,LOC-007
EMP-0104,2025-02-24,,HR,Specialist,Active,None,9269,LOC-001
EMP-0105,2024-07-04,,Operations,Analyst,Active,None,10099,LOC-002
EMP-0106,2024-12-29,,Customer Support,Director,Active,None,10376,LOC-004
EMP-0107,2025-01-12,,HR,Analyst,Active,None,14360,LOC-004
EMP-0108,2025-06-06,,Sales,Director,Active,None,13313,LOC-003
EMP-0109,2025-08-02,,Marketing,Specialist,Active,None,7078,LOC-007
EMP-0110,2024-07-14,,Sales,Manager,Active,None,8801,LOC-008
EMP-0111,2024-04-07,,Marketing,Lead,Active,None,7151,LOC-002
EMP-0112,2024-01-22,,Customer Support,Lead,Active,None,11911,LOC-004
EMP-0113,2025-03-25,,Operations,Specialist,Active,None,5600,LOC-003
EMP-0114,2024-06-20,,HR,Analyst,Active,None,9175,LOC-002
EMP-0115,2025-01-17,,HR,Manager,Active,None,14790,LOC-006
EMP-0116,2024-05-13,,HR,Director,Active,None,3666,LOC-004
EMP-0117,2025-03-01,,Customer Support,Specialist,Active,None,3283,LOC-006
EMP-0118,2024-01-25,,Marketing,Manager,Active,None,8840,LOC-002
EMP-0119,2025-05-17,,HR,Manager,Active,None,6565,LOC-004
EMP-0120,2024-07-03,,Sales,Director,Active,None,13426,LOC-006
EMP-0121,2024-03-25,,HR,Manager,Active,None,7593,LOC-005
EMP-0122,2025-07-20,,Customer Support,Analyst,Active,None,4465,LOC-003
EMP-0123,2024-05-23,,Operations,Analyst,Active,None,11321,LOC-008
EMP-0124,2025-02-15,,Sales,Analyst,Active,None,7734,LOC-007
EMP-0125,2024-08-11,,HR,Manager,Active,None,9257,LOC-003
EMP-0126,2024-08-07,,HR,Analyst,Active,None,10366,LOC-006
EMP-0127,2024-06-27,,Finance,Director,Active,None,13252,LOC-004
EMP-0128,2025-03-08,,Marketing,Manager,Active,None,6672,LOC-005
EMP-0129,2024-09-21,,Sales,Lead,Active,None,10382,LOC-005
EMP-0130,2025-03-04,,Finance,Manager,Active,None,9587,LOC-007
EMP-0131,2025-02-19,,Operations,Director,Active,None,13686,LOC-005
EMP-0132,2025-03-28,,Marketing,Lead,Active,None,3992,LOC-003
EMP-0133,2024-07-15,,Sales,Manager,Active,None,9858,LOC-010
EMP-0134,2025-07-07,,HR,Analyst,Active,None,5121,LOC-005
EMP-0135,2024-02-22,2025-12-09,Sales,Specialist,Terminated,Involuntary,13776,LOC-007
EMP-0136,2025-04-24,,HR,Specialist,Active,None,5223,LOC-005
EMP-0137,2025-03-18,,Marketing,Analyst,Active,None,7522,LOC-005
EMP-0138,2024-11-25,,HR,Specialist,Active,None,6188,LOC-009
EMP-0139,2024-09-07,,Operations,Specialist,Active,None,6237,LOC-003
EMP-0140,2024-05-02,,Customer Support,Analyst,Active,None,7136,LOC-006
EMP-0141,2025-01-21,,HR,Analyst,Active,None,3343,LOC-001
EMP-0142,2024-12-04,,Operations,Manager,Active,None,7704,LOC-010
EMP-0143,2024-12-13,2025-11-25,Customer Support,Manager,Terminated,Voluntary,7823,LOC-005
EMP-0144,2024-01-29,,Marketing,Analyst,Active,None,13468,LOC-008
EMP-0145,2024-02-04,,Marketing,Director,Active,None,7920,LOC-005
EMP-0146,2025-06-01,2025-10-28,Sales,Specialist,Terminated,Voluntary,6201,LOC-009
EMP-0147,2025-01-30,,Operations,Manager,Active,None,8471,LOC-006
EMP-0148,2024-10-20,2026-05-05,Operations,Specialist,Terminated,Involuntary,3888,LOC-008
EMP-0149,2025-08-11,,Finance,Lead,Active,None,13235,LOC-010
EMP-0150,2024-12-14,2025-12-17,Finance,Analyst,Terminated,Voluntary,12533,LOC-008
