operation_id,date_id,location_id,service_type,total_capacity,utilized_capacity,fulfillment_status,cycle_time_hours
OPS-000029,20240302,LOC-005,Catering,179,146,Delivered,33.8
OPS-000030,20260523,LOC-003,Catering,61,41,Delivered,31.0
OPS-000031,20241115,LOC-009,Facility Mgmt,130,73,Delivered,16.1
OPS-000032,20240411,LOC-009,Catering,123,76,Delayed,5.4
OPS-000033,20250304,LOC-003,Catering,147,114,Delayed,21.1
OPS-000034,20260523,LOC-003,Catering,55,46,Delivered,7.1
OPS-000035,20251222,LOC-005,Catering,185,103,Delivered,45.5
OPS-000036,20240911,LOC-002,Event Hosting,174,137,Delivered,23.3
OPS-000037,20250615,LOC-006,Catering,100,76,Delivered,15.9
OPS-000038,20250723,LOC-007,Catering,60,44,Delayed,37.0
OPS-000039,20240421,LOC-009,Event Hosting,176,146,Delivered,24.4
OPS-000040,20241108,LOC-006,Event Hosting,189,170,Delivered,15.6
OPS-000041,20250405,LOC-003,Facility Mgmt,122,79,Delivered,39.2
OPS-000042,20251208,LOC-005,Logistics,51,47,Delivered,41.8
OPS-000043,20260605,LOC-004,Catering,57,32,Cancelled,32.6
OPS-000044,20250406,LOC-005,Catering,188,109,Delivered,3.2
OPS-000045,20260514,LOC-008,Catering,173,108,Delivered,27.6
OPS-000046,20240401,LOC-008,Facility Mgmt,102,56,Delivered,36.9
OPS-000047,20240221,LOC-006,Catering,59,36,Delivered,7.4
OPS-000048,20260315,LOC-001,Logistics,161,88,Delivered,11.7
OPS-000049,20250603,LOC-008,Event Hosting,57,50,Delivered,42.5
OPS-000050,20260322,LOC-008,Facility Mgmt,85,48,Delivered,1.9
OPS-000051,20240407,LOC-002,Event Hosting,155,133,Delivered,36.4
OPS-000052,20240823,LOC-004,Catering,63,32,Delivered,23.3
OPS-000053,20260619,LOC-002,Catering,135,128,Delivered,22.0
OPS-000054,20250108,LOC-004,Catering,198,166,Delivered,1.3
OPS-000055,20250803,LOC-010,Logistics,99,49,Delivered,39.5
OPS-000056,20260715,LOC-007,Logistics,69,59,Delivered,17.9
OPS-000057,20250710,LOC-009,Facility Mgmt,136,101,Delivered,26.4
OPS-000058,20251010,LOC-008,Event Hosting,184,160,Delivered,32.8
OPS-000059,20240821,LOC-009,Catering,186,139,Delivered,34.0
OPS-000060,20240201,LOC-008,Catering,178,143,Cancelled,45.9
OPS-000061,20241015,LOC-002,Catering,87,76,Delivered,26.0
OPS-000062,20250929,LOC-007,Catering,93,64,Delivered,19.8
OPS-000063,20250801,LOC-002,Logistics,135,67,Delivered,45.8
OPS-000064,20250625,LOC-002,Event Hosting,93,84,Delivered,31.2
OPS-000065,20240423,LOC-004,Event Hosting,123,83,Delivered,15.0
OPS-000066,20240722,LOC-001,Facility Mgmt,168,124,Delivered,6.9
OPS-000067,20240129,LOC-005,Logistics,171,86,Delivered,40.6
OPS-000068,20251004,LOC-006,Catering,183,134,Delivered,18.0
OPS-000069,20250418,LOC-009,Event Hosting,194,188,Delivered,32.0
OPS-000070,20251127,LOC-010,Event Hosting,100,63,Delivered,23.1
OPS-000071,20240909,LOC-008,Logistics,87,60,Delivered,10.3
OPS-000072,20260308,LOC-002,Facility Mgmt,100,82,Delivered,29.3
OPS-000073,20260623,LOC-001,Facility Mgmt,59,52,Delivered,3.9
OPS-000074,20260710,LOC-002,Catering,169,118,Delayed,20.4
OPS-000075,20250120,LOC-007,Facility Mgmt,198,128,Delivered,26.7
OPS-000076,20240302,LOC-004,Event Hosting,119,113,Delivered,21.5
OPS-000077,20250529,LOC-010,Facility Mgmt,134,110,Delayed,36.2
OPS-000078,20250305,LOC-005,Catering,106,59,Delivered,39.9
OPS-000079,20250802,LOC-007,Event Hosting,175,93,Delivered,37.2
OPS-000080,20250620,LOC-003,Facility Mgmt,88,64,Delivered,2.8
OPS-000081,20251121,LOC-010,Facility Mgmt,82,49,Delayed,10.1
OPS-000082,20240520,LOC-002,Logistics,67,41,Delayed,26.2
OPS-000083,20260112,LOC-007,Catering,106,97,Delivered,44.9
OPS-000084,20241026,LOC-005,Facility Mgmt,145,78,Delivered,40.2
OPS-000085,20251105,LOC-001,Logistics,97,81,Delivered,40.6
OPS-000086,20241106,LOC-001,Event Hosting,91,57,Delivered,15.3
OPS-000087,20250415,LOC-009,Logistics,76,65,Delivered,21.2
OPS-000088,20250127,LOC-005,Logistics,123,104,Delivered,23.1
OPS-000089,20251003,LOC-001,Facility Mgmt,159,80,Delivered,8.4
OPS-000090,20250320,LOC-007,Facility Mgmt,81,60,Delivered,2.5
OPS-000091,20260127,LOC-009,Facility Mgmt,75,42,Delivered,45.5
OPS-000092,20260319,LOC-001,Logistics,74,67,Delivered,12.3
OPS-000093,20240620,LOC-010,Event Hosting,124,113,Delivered,12.3
OPS-000094,20250729,LOC-004,Catering,72,50,Delayed,4.9
OPS-000095,20240131,LOC-003,Logistics,106,75,Delivered,44.6
OPS-000096,20240216,LOC-005,Facility Mgmt,175,112,Delivered,28.2
OPS-000097,20240509,LOC-007,Catering,136,114,Delivered,32.4
OPS-000098,20241217,LOC-008,Event Hosting,80,53,Delivered,43.8
OPS-000099,20260424,LOC-002,Catering,113,71,Delayed,17.2
OPS-000100,20250913,LOC-007,Facility Mgmt,82,58,Delivered,30.2
OPS-000101,20250803,LOC-001,Logistics,51,27,Delivered,2.8
OPS-000102,20240227,LOC-007,Logistics,67,57,Delivered,9.8
OPS-000103,20240415,LOC-008,Facility Mgmt,133,67,Delivered,40.1
OPS-000104,20260322,LOC-002,Logistics,84,67,Delivered,37.0
OPS-000105,20241125,LOC-009,Facility Mgmt,163,95,Delivered,17.5
OPS-000106,20260206,LOC-001,Logistics,195,119,Delivered,18.7
OPS-000107,20260403,LOC-006,Logistics,159,128,Delivered,26.1
OPS-000108,20251113,LOC-001,Logistics,137,133,Delivered,1.0
OPS-000109,20250117,LOC-003,Event Hosting,121,105,Delayed,12.3
OPS-000110,20240610,LOC-006,Event Hosting,174,105,Delivered,10.8
OPS-000111,20241012,LOC-003,Facility Mgmt,79,46,Delayed,12.8
OPS-000112,20240311,LOC-008,Event Hosting,102,93,Delivered,38.9
OPS-000113,20260205,LOC-005,Facility Mgmt,187,133,Delivered,14.1
OPS-000114,20250329,LOC-002,Catering,136,76,Delivered,10.0
OPS-000115,20260604,LOC-004,Catering,188,171,Delivered,24.7
OPS-000116,20250720,LOC-009,Event Hosting,62,55,Delivered,41.7
OPS-000117,20260414,LOC-004,Catering,89,86,Delivered,12.3
OPS-000118,20250131,LOC-010,Catering,138,129,Delivered,4.7
OPS-000119,20250529,LOC-010,Logistics,117,106,Delivered,17.8
OPS-000120,20240126,LOC-008,Logistics,91,47,Delivered,36.1
OPS-000121,20241108,LOC-005,Facility Mgmt,196,107,Delivered,26.9
OPS-000122,20240505,LOC-010,Catering,143,110,Delivered,39.4
OPS-000123,20250211,LOC-001,Facility Mgmt,68,51,Delivered,46.1
OPS-000124,20250718,LOC-007,Facility Mgmt,72,51,Delivered,38.3
OPS-000125,20240716,LOC-003,Catering,103,71,Delivered,29.4
OPS-000126,20260321,LOC-010,Event Hosting,114,80,Delivered,24.2
OPS-000127,20240706,LOC-008,Catering,189,146,Delivered,2.9
OPS-000128,20251128,LOC-003,Logistics,73,36,Delivered,47.3
OPS-000129,20260327,LOC-001,Catering,83,51,Delivered,19.0
OPS-000130,20260320,LOC-005,Event Hosting,102,76,Delivered,8.2
OPS-000131,20251216,LOC-002,Facility Mgmt,185,156,Delivered,32.3
OPS-000132,20250428,LOC-004,Facility Mgmt,67,39,Delivered,14.4
OPS-000133,20250325,LOC-001,Logistics,106,80,Delivered,28.5
OPS-000134,20250606,LOC-009,Logistics,161,135,Delivered,28.6
OPS-000135,20260520,LOC-006,Logistics,54,38,Delivered,21.9
OPS-000136,20241219,LOC-008,Facility Mgmt,62,31,Delivered,40.3
OPS-000137,20251019,LOC-004,Logistics,132,94,Delayed,13.5
OPS-000138,20250819,LOC-009,Catering,78,50,Delivered,22.1
OPS-000139,20240409,LOC-002,Facility Mgmt,52,49,Delivered,26.3
OPS-000140,20250907,LOC-009,Event Hosting,139,77,Delivered,32.2
OPS-000141,20250711,LOC-005,Facility Mgmt,153,124,Delivered,37.8
OPS-000142,20250709,LOC-006,Catering,172,90,Delivered,19.6
OPS-000143,20241004,LOC-003,Catering,125,89,Delivered,31.4
OPS-000144,20251123,LOC-004,Logistics,179,137,Delayed,8.1
OPS-000145,20251129,LOC-006,Facility Mgmt,157,100,Delivered,44.8
OPS-000146,20250917,LOC-007,Facility Mgmt,131,94,Delivered,19.0
OPS-000147,20250505,LOC-001,Facility Mgmt,126,72,Delayed,35.3
OPS-000148,20240911,LOC-007,Event Hosting,51,32,Delayed,2.0
OPS-000149,20250115,LOC-001,Logistics,176,140,Delivered,10.6
OPS-000150,20260610,LOC-005,Catering,184,118,Delayed,23.9
OPS-000151,20250625,LOC-006,Catering,75,69,Delivered,42.3
OPS-000152,20240920,LOC-002,Logistics,137,109,Delayed,25.8
OPS-000153,20250901,LOC-010,Catering,65,46,Delivered,44.7
OPS-000154,20260404,LOC-009,Catering,122,63,Delivered,23.7
OPS-000155,20260528,LOC-010,Logistics,81,59,Delivered,24.1
OPS-000156,20241124,LOC-006,Catering,64,55,Delivered,6.6
OPS-000157,20240424,LOC-007,Facility Mgmt,190,119,Delivered,38.7
OPS-000158,20241002,LOC-010,Event Hosting,54,47,Delivered,12.6
OPS-000159,20250502,LOC-008,Logistics,123,76,Delivered,43.3
OPS-000160,20241007,LOC-010,Event Hosting,101,90,Delivered,43.8
OPS-000161,20241001,LOC-001,Catering,126,68,Delivered,45.3
OPS-000162,20260211,LOC-008,Catering,159,145,Delivered,25.5
OPS-000163,20260422,LOC-004,Facility Mgmt,192,142,Delivered,32.8
OPS-000164,20251219,LOC-010,Logistics,155,99,Delivered,37.6
OPS-000165,20260614,LOC-008,Catering,176,110,Delayed,7.2
OPS-000166,20241123,LOC-006,Logistics,56,39,Delivered,29.2
OPS-000167,20240729,LOC-009,Logistics,89,87,Delivered,2.6
OPS-000168,20251227,LOC-004,Logistics,148,89,Delivered,24.4
OPS-000169,20260711,LOC-002,Logistics,192,105,Delivered,8.3
OPS-000170,20250705,LOC-002,Logistics,134,104,Delivered,9.6
OPS-000171,20240126,LOC-005,Event Hosting,114,83,Delivered,18.2
OPS-000172,20240127,LOC-010,Facility Mgmt,181,136,Delivered,21.3
OPS-000173,20251202,LOC-009,Logistics,60,49,Delivered,30.3
OPS-000174,20240323,LOC-003,Event Hosting,157,98,Delivered,4.5
OPS-000175,20260614,LOC-008,Catering,75,70,Delivered,24.7
OPS-000176,20251112,LOC-004,Logistics,134,95,Delayed,9.6
OPS-000177,20250216,LOC-006,Catering,172,96,Delivered,28.0
OPS-000178,20240615,LOC-010,Logistics,193,165,Delivered,31.0
OPS-000179,20251130,LOC-006,Event Hosting,117,94,Delivered,27.2
OPS-000180,20240617,LOC-003,Event Hosting,153,99,Delivered,35.7
OPS-000181,20260311,LOC-005,Event Hosting,129,102,Delivered,16.8
OPS-000182,20240816,LOC-003,Facility Mgmt,102,61,Delivered,37.0
OPS-000183,20250831,LOC-001,Catering,155,110,Delayed,21.3
OPS-000184,20250101,LOC-007,Facility Mgmt,93,86,Delivered,23.8
OPS-000185,20250611,LOC-004,Logistics,189,106,Delivered,31.5
OPS-000186,20260301,LOC-007,Catering,139,95,Delivered,1.9
OPS-000187,20251008,LOC-003,Event Hosting,150,134,Delivered,31.7
OPS-000188,20250621,LOC-005,Catering,146,140,Delivered,30.1
OPS-000189,20260513,LOC-005,Event Hosting,58,41,Delivered,15.6
OPS-000190,20250607,LOC-002,Facility Mgmt,61,45,Delivered,5.0
OPS-000191,20240312,LOC-010,Facility Mgmt,118,91,Delivered,5.3
OPS-000192,20251006,LOC-002,Event Hosting,77,72,Delivered,44.4
OPS-000193,20240415,LOC-004,Event Hosting,105,95,Delivered,33.4
OPS-000194,20260101,LOC-004,Logistics,148,86,Delivered,7.0
OPS-000195,20260603,LOC-004,Facility Mgmt,159,112,Delivered,17.8
OPS-000196,20251119,LOC-006,Facility Mgmt,126,91,Delivered,28.8
OPS-000197,20241008,LOC-002,Logistics,152,133,Delivered,40.3
OPS-000198,20240512,LOC-006,Facility Mgmt,155,122,Delivered,3.1
OPS-000199,20250617,LOC-007,Event Hosting,158,128,Delivered,12.1
OPS-000200,20240925,LOC-010,Catering,161,157,Delivered,42.8
OPS-000201,20250215,LOC-003,Catering,107,57,Delivered,1.4
OPS-000202,20251103,LOC-008,Facility Mgmt,127,77,Delivered,10.5
OPS-000203,20250910,LOC-002,Logistics,124,86,Delivered,46.1
OPS-000204,20260301,LOC-008,Event Hosting,91,60,Delivered,29.8
OPS-000205,20260514,LOC-005,Catering,117,59,Delivered,13.3
OPS-000206,20260116,LOC-002,Event Hosting,82,44,Delivered,4.1
OPS-000207,20240118,LOC-007,Facility Mgmt,120,99,Delayed,2.3
OPS-000208,20260123,LOC-002,Facility Mgmt,105,96,Delivered,12.5
OPS-000209,20240426,LOC-006,Catering,154,115,Delivered,42.4
OPS-000210,20260308,LOC-010,Facility Mgmt,150,113,Delayed,20.5
OPS-000211,20260304,LOC-003,Logistics,100,62,Delivered,34.9
OPS-000212,20240523,LOC-009,Facility Mgmt,123,106,Delivered,44.2
OPS-000213,20251217,LOC-003,Facility Mgmt,170,146,Delivered,20.2
OPS-000214,20250704,LOC-003,Facility Mgmt,192,150,Delivered,10.0
OPS-000215,20260717,LOC-005,Event Hosting,192,115,Delayed,25.3
OPS-000216,20251027,LOC-007,Event Hosting,54,29,Delivered,43.7
OPS-000217,20251118,LOC-008,Catering,132,70,Delivered,38.8
OPS-000218,20260122,LOC-007,Catering,100,78,Delivered,4.1
OPS-000219,20250225,LOC-009,Catering,59,52,Delivered,33.6
OPS-000220,20260616,LOC-005,Facility Mgmt,189,172,Delivered,27.9
OPS-000221,20250103,LOC-010,Event Hosting,53,38,Delivered,43.7
OPS-000222,20251007,LOC-003,Logistics,144,126,Delivered,6.8
OPS-000223,20250711,LOC-006,Facility Mgmt,195,186,Delivered,26.1
OPS-000224,20240219,LOC-005,Facility Mgmt,129,81,Delivered,42.3
OPS-000225,20251108,LOC-004,Facility Mgmt,85,58,Delivered,20.3
OPS-000226,20240415,LOC-002,Logistics,74,70,Delivered,23.7
OPS-000227,20240803,LOC-007,Catering,147,97,Delivered,4.3
OPS-000228,20251019,LOC-005,Logistics,150,140,Delivered,14.1
OPS-000229,20260711,LOC-004,Catering,58,56,Cancelled,16.3
OPS-000230,20250228,LOC-008,Logistics,110,89,Delivered,45.4
OPS-000231,20240312,LOC-009,Event Hosting,102,90,Delivered,14.3
OPS-000232,20260421,LOC-009,Facility Mgmt,195,167,Delivered,22.7
OPS-000233,20260223,LOC-003,Facility Mgmt,112,93,Delayed,32.6
OPS-000234,20260128,LOC-003,Facility Mgmt,170,110,Delivered,8.6
OPS-000235,20250321,LOC-005,Catering,154,81,Delivered,23.9
OPS-000236,20260713,LOC-005,Logistics,53,35,Delivered,35.7
OPS-000237,20240704,LOC-010,Event Hosting,142,116,Delayed,41.7
OPS-000238,20240310,LOC-002,Logistics,77,42,Delivered,30.4
OPS-000239,20240529,LOC-001,Facility Mgmt,129,65,Delivered,32.4
OPS-000240,20240902,LOC-008,Event Hosting,125,70,Delayed,6.9
OPS-000241,20260212,LOC-003,Event Hosting,165,139,Delivered,45.5
OPS-000242,20250621,LOC-001,Facility Mgmt,118,114,Delivered,7.2
OPS-000243,20260723,LOC-001,Logistics,147,142,Delivered,37.4
OPS-000244,20251013,LOC-002,Facility Mgmt,50,36,Delayed,13.4
OPS-000245,20240408,LOC-006,Logistics,145,133,Delivered,44.9
OPS-000246,20260628,LOC-006,Event Hosting,66,56,Cancelled,34.8
OPS-000247,20241004,LOC-003,Event Hosting,161,119,Delivered,36.4
OPS-000248,20250716,LOC-004,Facility Mgmt,140,108,Delivered,11.3
OPS-000249,20251024,LOC-002,Event Hosting,137,77,Cancelled,21.8
OPS-000250,20260801,LOC-002,Catering,139,132,Delivered,30.0
OPS-000251,20250330,LOC-007,Event Hosting,98,65,Delivered,37.2
OPS-000252,20240413,LOC-001,Catering,87,62,Delivered,5.9
OPS-000253,20250823,LOC-007,Event Hosting,199,163,Delivered,46.2
OPS-000254,20251014,LOC-001,Facility Mgmt,181,119,Delivered,42.8
OPS-000255,20251225,LOC-006,Facility Mgmt,108,67,Delivered,13.7
OPS-000256,20240820,LOC-003,Catering,117,93,Delivered,39.7
OPS-000257,20250128,LOC-008,Facility Mgmt,179,91,Delivered,25.4
OPS-000258,20250515,LOC-006,Event Hosting,98,82,Delivered,22.7
OPS-000259,20251125,LOC-002,Event Hosting,175,130,Cancelled,15.8
OPS-000260,20240907,LOC-008,Facility Mgmt,160,126,Delivered,28.3
OPS-000261,20250604,LOC-005,Event Hosting,97,77,Delivered,35.3
OPS-000262,20240319,LOC-008,Logistics,100,75,Delivered,20.3
OPS-000263,20240221,LOC-008,Logistics,92,71,Delivered,30.6
OPS-000264,20260616,LOC-006,Event Hosting,147,121,Delivered,33.9
OPS-000265,20260709,LOC-002,Facility Mgmt,173,149,Delivered,34.4
OPS-000266,20260219,LOC-008,Catering,129,109,Delayed,3.4
OPS-000267,20240813,LOC-006,Facility Mgmt,160,146,Cancelled,41.4
OPS-000268,20240220,LOC-006,Catering,192,113,Delivered,22.5
OPS-000269,20240704,LOC-008,Facility Mgmt,76,52,Delayed,13.3
OPS-000270,20240203,LOC-001,Event Hosting,162,154,Delivered,12.4
OPS-000271,20260313,LOC-002,Logistics,135,93,Delivered,23.7
OPS-000272,20260111,LOC-009,Facility Mgmt,163,91,Delayed,42.7
OPS-000273,20240510,LOC-008,Catering,173,130,Delivered,18.8
OPS-000274,20250923,LOC-007,Logistics,98,54,Delivered,36.2
OPS-000275,20250318,LOC-007,Catering,125,74,Delivered,5.6
OPS-000276,20260417,LOC-005,Event Hosting,104,101,Delivered,23.4
OPS-000277,20260128,LOC-002,Logistics,105,79,Delivered,47.6
OPS-000278,20250307,LOC-006,Catering,144,91,Delivered,37.2
OPS-000279,20251204,LOC-010,Facility Mgmt,93,90,Cancelled,10.9
OPS-000280,20250511,LOC-003,Event Hosting,136,131,Delivered,24.6
OPS-000281,20250206,LOC-004,Event Hosting,133,94,Delivered,12.0
OPS-000282,20241118,LOC-010,Event Hosting,65,40,Delivered,20.2
OPS-000283,20240728,LOC-002,Facility Mgmt,198,178,Delivered,37.7
OPS-000284,20250906,LOC-002,Facility Mgmt,194,163,Delivered,37.2
OPS-000285,20241124,LOC-008,Logistics,86,71,Delivered,11.7
OPS-000286,20250106,LOC-008,Facility Mgmt,126,117,Delayed,44.3
OPS-000287,20250404,LOC-010,Logistics,196,162,Delayed,28.9
OPS-000288,20240512,LOC-006,Event Hosting,94,59,Delivered,18.9
OPS-000289,20260414,LOC-005,Logistics,195,162,Delayed,24.6
OPS-000290,20251012,LOC-008,Catering,111,71,Delivered,29.4
OPS-000291,20240430,LOC-004,Event Hosting,149,128,Delivered,27.3
OPS-000292,20250828,LOC-004,Event Hosting,101,80,Delivered,23.9
OPS-000293,20250327,LOC-005,Logistics,68,36,Delivered,24.7
OPS-000294,20240508,LOC-001,Event Hosting,158,117,Delivered,9.3
OPS-000295,20240331,LOC-001,Facility Mgmt,93,61,Delivered,39.2
OPS-000296,20250826,LOC-002,Catering,56,36,Delivered,26.5
OPS-000297,20250728,LOC-008,Logistics,166,130,Cancelled,7.2
OPS-000298,20240129,LOC-007,Logistics,117,76,Delivered,37.0
OPS-000299,20251222,LOC-010,Event Hosting,83,72,Delivered,44.8
OPS-000300,20250607,LOC-009,Facility Mgmt,118,63,Delivered,45.5
OPS-000301,20241128,LOC-005,Event Hosting,104,84,Delivered,18.3
OPS-000302,20241023,LOC-002,Event Hosting,59,52,Delivered,7.4
OPS-000303,20240509,LOC-007,Logistics,91,74,Delivered,25.4
OPS-000304,20241019,LOC-008,Event Hosting,90,66,Delivered,6.3
OPS-000305,20240621,LOC-007,Catering,171,163,Delivered,44.9
OPS-000306,20251220,LOC-007,Event Hosting,187,120,Delivered,9.6
OPS-000307,20260801,LOC-005,Event Hosting,59,30,Delivered,12.9
OPS-000308,20240124,LOC-002,Logistics,151,106,Delivered,20.1
OPS-000309,20240408,LOC-006,Event Hosting,177,91,Delivered,19.0
OPS-000310,20250209,LOC-004,Facility Mgmt,198,189,Delivered,38.3
OPS-000311,20241221,LOC-010,Logistics,185,111,Delivered,22.4
OPS-000312,20240518,LOC-002,Event Hosting,141,123,Delivered,9.0
OPS-000313,20250517,LOC-009,Catering,162,141,Delivered,13.6
OPS-000314,20260405,LOC-007,Catering,127,76,Delivered,24.9
OPS-000315,20240622,LOC-006,Logistics,134,106,Delivered,7.9
OPS-000316,20240129,LOC-005,Logistics,79,41,Delivered,29.7
OPS-000317,20260719,LOC-003,Event Hosting,98,71,Delivered,27.6
OPS-000318,20250510,LOC-010,Facility Mgmt,58,29,Delayed,34.6
OPS-000319,20251016,LOC-010,Event Hosting,194,182,Delayed,45.1
OPS-000320,20260407,LOC-004,Catering,118,114,Delivered,43.9
OPS-000321,20241216,LOC-003,Facility Mgmt,107,64,Delivered,45.5
OPS-000322,20250707,LOC-008,Facility Mgmt,111,66,Delivered,12.5
OPS-000323,20241025,LOC-003,Facility Mgmt,101,87,Cancelled,7.2
OPS-000324,20251220,LOC-007,Event Hosting,89,55,Cancelled,15.2
OPS-000325,20260421,LOC-007,Catering,112,104,Delivered,43.1
OPS-000326,20240710,LOC-007,Logistics,196,151,Delivered,46.7
OPS-000327,20251102,LOC-007,Event Hosting,99,66,Delivered,41.4
OPS-000328,20240304,LOC-002,Logistics,190,170,Delivered,6.2
OPS-000329,20260124,LOC-010,Facility Mgmt,127,93,Delivered,45.5
OPS-000330,20260208,LOC-003,Facility Mgmt,146,136,Delivered,20.9
OPS-000331,20251025,LOC-010,Event Hosting,92,86,Delayed,1.4
OPS-000332,20240802,LOC-009,Catering,85,49,Delivered,21.8
OPS-000333,20260413,LOC-003,Facility Mgmt,171,85,Delivered,3.2
OPS-000334,20240614,LOC-002,Logistics,157,152,Delayed,26.6
OPS-000335,20250626,LOC-009,Logistics,59,55,Delayed,16.9
OPS-000336,20260601,LOC-010,Event Hosting,144,75,Delivered,23.3
OPS-000337,20240819,LOC-009,Logistics,55,49,Delivered,29.8
OPS-000338,20260304,LOC-004,Catering,106,76,Delivered,41.8
OPS-000339,20250624,LOC-009,Facility Mgmt,178,111,Delivered,32.1
OPS-000340,20240713,LOC-003,Logistics,120,110,Cancelled,21.4
OPS-000341,20250520,LOC-007,Logistics,70,41,Delayed,39.5
OPS-000342,20241129,LOC-007,Facility Mgmt,141,134,Delivered,43.6
OPS-000343,20260206,LOC-008,Event Hosting,176,105,Delivered,6.6
OPS-000344,20260303,LOC-010,Logistics,129,102,Delivered,26.0
OPS-000345,20241030,LOC-004,Event Hosting,105,63,Delayed,14.4
OPS-000346,20260412,LOC-003,Event Hosting,165,125,Delivered,3.2
OPS-000347,20250312,LOC-003,Logistics,197,163,Delivered,32.4
OPS-000348,20241118,LOC-005,Catering,74,43,Delivered,41.6
OPS-000349,20250516,LOC-001,Event Hosting,54,40,Delivered,8.7
OPS-000350,20260507,LOC-010,Logistics,169,122,Delivered,39.2
OPS-000351,20260702,LOC-003,Event Hosting,70,37,Delivered,41.1
OPS-000352,20250127,LOC-006,Facility Mgmt,67,59,Delayed,44.0
OPS-000353,20260316,LOC-003,Catering,106,70,Delayed,13.5
OPS-000354,20250821,LOC-005,Catering,142,110,Delivered,43.5
OPS-000355,20240528,LOC-009,Facility Mgmt,68,50,Delivered,16.1
OPS-000356,20260130,LOC-002,Facility Mgmt,177,132,Delivered,27.0
OPS-000357,20260412,LOC-002,Event Hosting,146,80,Delivered,3.4
OPS-000358,20250208,LOC-006,Facility Mgmt,180,126,Delivered,3.1
OPS-000359,20241009,LOC-006,Catering,70,50,Delayed,34.9
OPS-000360,20241227,LOC-008,Facility Mgmt,89,75,Delivered,21.9
OPS-000361,20250113,LOC-002,Logistics,116,104,Delivered,13.0
OPS-000362,20240716,LOC-009,Logistics,176,134,Delayed,9.9
OPS-000363,20250709,LOC-002,Event Hosting,104,56,Cancelled,32.5
OPS-000364,20241221,LOC-001,Catering,158,96,Delivered,1.0
OPS-000365,20250623,LOC-010,Logistics,147,85,Delivered,38.9
OPS-000366,20250304,LOC-002,Facility Mgmt,161,90,Delivered,4.7
OPS-000367,20240117,LOC-007,Logistics,164,110,Delivered,10.0
OPS-000368,20250930,LOC-008,Logistics,166,101,Delivered,19.2
OPS-000369,20250113,LOC-005,Event Hosting,136,82,Delivered,23.8
OPS-000370,20251110,LOC-006,Facility Mgmt,130,68,Cancelled,17.7
OPS-000371,20250520,LOC-001,Facility Mgmt,115,58,Delivered,16.1
OPS-000372,20260125,LOC-006,Facility Mgmt,68,37,Delivered,46.3
OPS-000373,20260617,LOC-008,Event Hosting,184,107,Delivered,31.2
OPS-000374,20240316,LOC-003,Facility Mgmt,167,118,Delivered,2.1
OPS-000375,20240818,LOC-001,Facility Mgmt,91,67,Delayed,21.2
OPS-000376,20251216,LOC-004,Logistics,91,51,Delivered,42.1
OPS-000377,20240904,LOC-001,Logistics,108,76,Delivered,15.2
OPS-000378,20241028,LOC-008,Facility Mgmt,69,45,Delivered,5.4
OPS-000379,20251226,LOC-005,Catering,122,71,Delivered,36.6
OPS-000380,20240802,LOC-001,Catering,66,33,Delivered,29.5
OPS-000381,20240606,LOC-008,Facility Mgmt,76,55,Delivered,27.8
